#,question,a,b,c,d,correct_answer,category
ο»Ώ1,"Ξ— ΞµΞ»ΞµΟ…ΞΈΞµΟΞ―Ξ± Ξ­ΞΊΟ†ΟΞ±ΟƒΞ·Ο‚ Ξ³Ξ½ΟΞΌΞ·Ο‚ Ξ±ΟƒΞΊΞµΞ―Ο„Ξ±ΞΉ:","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚","Ξ‘Ο€Ο ΟΟƒΞΏΟ…Ο‚/ΞµΟ‚ ΞµΟ…ΟΞ―ΟƒΞΊΞΏΞ½Ο„Ξ±ΞΉ ΟƒΟ„Ξ·Ξ½ Ξ•Ξ»Ξ»Ξ·Ξ½ΞΉΞΊΞ® ΞµΟ€ΞΉΞΊΟΞ¬Ο„ΞµΞΉΞ±","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚ ΞΊΞ±ΞΉ Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ ΞΏΞΌΞΏΞ³ΞµΞ½ΞµΞ―Ο‚","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΊΞ±Ο„ΟΟ‡ΞΏΟ…Ο‚ Ο„Ξ·Ο‚ ΞΊΞΏΞΉΞ½Ξ®Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΉΞΈΞ±Ξ³Ξ­Ξ½ΞµΞΉΞ±Ο‚",1,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
52,"ΞΞµ Ο„Ξ· Ξ£Ο…Ξ½ΞΈΞ®ΞΊΞ· Ο„Ξ·Ο‚ Ξ›ΞΉΟƒΞ±Ξ²ΟΞ½Ξ±Ο‚:","ΞΞ±Ο„Ξ±ΟΞ³Ξ®ΞΈΞ·ΞΊΞµ Ξ· ΞΏΞΌΞΏΟ†Ο‰Ξ½Ξ―Ξ± ΟƒΟ„ΞΏ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΟ Ξ£Ο…ΞΌΞ²ΞΏΟΞ»ΞΉΞΏ","ΞΞ±Ο„Ξ±ΟΞ³Ξ®ΞΈΞ·ΞΊΞµ Ξ· ΞΏΞΌΞΏΟ†Ο‰Ξ½Ξ―Ξ± ΟƒΟ„ΞΏ Ξ£Ο…ΞΌΞ²ΞΏΟΞ»ΞΉΞΏ","Ξ•ΞΉΟƒΞ®Ο‡ΞΈΞ· ΞµΞΉΞ΄ΞΉΞΊΞ® Ξ΄ΞΉΞ±Ξ΄ΞΉΞΊΞ±ΟƒΞ―Ξ± ΞΌΞµ Ο„Ξ·Ξ½ ΞΏΟ€ΞΏΞ―Ξ± Ο„ΞΏ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΟ ΞΞΏΞΉΞ½ΞΏΞ²ΞΏΟΞ»ΞΉΞΏ Ξ½ΞΏΞΌΞΏΞΈΞµΟ„ΞµΞ― Ο‡Ο‰ΟΞ―Ο‚ Ο„Ξ· ΟƒΟΞΌΟ€ΟΞ±ΞΎΞ· Ο„ΞΏΟ… Ξ£Ο…ΞΌΞ²ΞΏΟ…Ξ»Ξ―ΞΏΟ… ΟƒΟ„ΞΉΟ‚ ΞµΞΉΞ΄ΞΉΞΊΟΟ‚ ΞΏΟΞΉΞ¶ΟΞΌΞµΞ½ΞµΟ‚ Ο€ΞµΟΞΉΟ€Ο„ΟΟƒΞµΞΉΟ‚","ΞΞµΟƒΟ€Ξ―ΟƒΟ„Ξ·ΞΊΞµ Ξ· Ξ­ΞΊΞ΄ΞΏΟƒΞ· Ξ±Ο€Ο Ο„Ξ·Ξ½ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ® Ξ•Ο€ΞΉΟ„ΟΞΏΟ€Ξ® ΞµΞΊΟ„ΞµΞ»ΞµΟƒΟ„ΞΉΞΊΟΞ½ ΞΊΞ±ΞΉ ΞΊΞ±Ο„β€™ ΞµΞΎΞΏΟ…ΟƒΞΉΞΏΞ΄ΟΟ„Ξ·ΟƒΞ· Ο€ΟΞ¬ΞΎΞµΟ‰Ξ½ Ξ³ΞµΞ½ΞΉΞΊΞ®Ο‚ ΞΉΟƒΟ‡ΟΞΏΟ‚ (ΞΏΞ΄Ξ·Ξ³ΞΉΟΞ½, ΞΊΞ±Ξ½ΞΏΞ½ΞΉΟƒΞΌΟΞ½ ΞΊΞ±ΞΉ Ξ±Ο€ΞΏΟ†Ξ¬ΟƒΞµΟ‰Ξ½)",3,"Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞΏΞ― ΞΞµΟƒΞΌΞΏΞ― ΞΊΞ±ΞΉ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
53,"Ξ ΞΏΞΉΞ± Ξ±Ο€Ο Ο„ΞΉΟ‚ Ξ±ΞΊΟΞ»ΞΏΟ…ΞΈΞµΟ‚ Ο€ΟΞΏΟ„Ξ¬ΟƒΞµΞΉΟ‚ Ξ”Ξ•Ξ ΞµΞ―Ξ½Ξ±ΞΉ ΞΏΟΞΈΞ®;","Ξ— ΞµΞ»Ξ»Ξ·Ξ½ΞΉΞΊΞ® ΞΊΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ· ΞΌΟ€ΞΏΟΞµΞ― Ξ½Ξ± ΞµΞΌΟ€ΞΏΞ΄Ξ―ΟƒΞµΞΉ Ο„Ξ·Ξ½ Ξ­ΞΊΞ΄ΞΏΟƒΞ· ΞΌΞΉΞ±Ο‚ Ξ½ΞΏΞΌΞΏΞΈΞµΟ„ΞΉΞΊΞ®Ο‚ Ο€ΟΞ¬ΞΎΞ·Ο‚ Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚ Ο€ΞΏΟ… Ξ±Ο†ΞΏΟΞ¬ Ο„Ξ·Ξ½ ΞµΞ½Ξ±ΟΞΌΟΞ½ΞΉΟƒΞ· Ο„ΞΏΟ… Ο†ΞΏΟΞΏΞ»ΞΏΞ³ΞΉΞΊΞΏΟ Ξ΄ΞΉΞΊΞ±Ξ―ΞΏΟ…","ΞΞΉ Ξ±Ο€ΞΏΟ†Ξ¬ΟƒΞµΞΉΟ‚ Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚ Ξ±Ο€ΞµΟ…ΞΈΟΞ½ΞΏΞ½Ο„Ξ±ΞΉ Ο€Ξ¬Ξ½Ο„ΞΏΟ„Ξµ ΟƒΞµ Ο†Ο…ΟƒΞΉΞΊΞ¬ Ξ® Ξ½ΞΏΞΌΞΉΞΊΞ¬ Ο€ΟΟΟƒΟ‰Ο€Ξ± ΞΊΞ±ΞΉ ΟΟ‡ΞΉ ΟƒΟ„Ξ± ΞΊΟΞ¬Ο„Ξ· ΞΌΞ­Ξ»Ξ·","Ξ¤Ξ± Ξ½ΞΏΞΌΞΏΞΈΞµΟ„ΞΉΞΊΞ¬ ΞΌΞ­Ο„ΟΞ± Ο€ΞΏΟ… Ξ±Ο€ΞΏΟƒΞΊΞΏΟ€ΞΏΟΞ½ ΟƒΟ„Ξ·Ξ½ ΞµΞ½Ξ±ΟΞΌΟΞ½ΞΉΟƒΞ· Ο„Ο‰Ξ½ Ξ½ΞΏΞΌΞΉΞΊΟΞ½ Ξ΄ΞΉΞ±Ο„Ξ¬ΞΎΞµΟ‰Ξ½ Ο„Ο‰Ξ½ ΞΊΟΞ±Ο„ΟΞ½ ΞΌΞµΞ»ΟΞ½ Ο€ΞΏΟ… Ξ­Ο‡ΞΏΟ…Ξ½ Ο‰Ο‚ Ξ±Ξ½Ο„ΞΉΞΊΞµΞ―ΞΌΞµΞ½ΞΏ Ο„Ξ·Ξ½ ΞµΞ³ΞΊΞ±ΞΈΞ―Ξ΄ΟΟ…ΟƒΞ· ΞΊΞ±ΞΉ Ο„Ξ· Ξ»ΞµΞΉΟ„ΞΏΟ…ΟΞ³Ξ―Ξ± Ο„Ξ·Ο‚ ΞµΟƒΟ‰Ο„ΞµΟΞΉΞΊΞ®Ο‚ Ξ±Ξ³ΞΏΟΞ¬Ο‚ Ο…ΞΉΞΏΞΈΞµΟ„ΞΏΟΞ½Ο„Ξ±ΞΉ Ξ±Ο€Ο Ο„ΞΏ Ξ£Ο…ΞΌΞ²ΞΏΟΞ»ΞΉΞΏ ΞΌΞµ ΞµΞΉΞ΄ΞΉΞΊΞ® Ο€Ξ»ΞµΞΉΞΏΟΞ·Ο†Ξ―Ξ±, ΞΊΞ±ΞΉ ΟΟ‡ΞΉ ΞΌΞµ ΞΏΞΌΞΏΟ†Ο‰Ξ½Ξ―Ξ±","Ξ— Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ® Ξ•Ο€ΞΉΟ„ΟΞΏΟ€Ξ® Ξ΄ΞΉΞ±ΞΈΞ­Ο„ΞµΞΉ ΞµΟ…ΟΞµΞ―ΞµΟ‚ ΞµΞΎΞΏΟ…ΟƒΞ―ΞµΟ‚ ΞµΞ»Ξ­Ξ³Ο‡ΞΏΟ… ΞΊΞ±ΞΉ ΞµΟ€ΞΉΞ²ΞΏΞ»Ξ®Ο‚ Ο„Ο‰Ξ½ ΞΊΞ±Ξ½ΟΞ½Ο‰Ξ½ Ο„Ξ·Ο‚ Ξ£Ο…Ξ½ΞΈΞ®ΞΊΞ·Ο‚ Ξ³ΞΉΞ± Ο„Ξ· Ξ›ΞµΞΉΟ„ΞΏΟ…ΟΞ³Ξ―Ξ± Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚ (Ξ£Ξ›Ξ•Ξ•) Ξ³ΞΉΞ± Ο„ΞΏΞ½ Ξ±Ξ½Ο„Ξ±Ξ³Ο‰Ξ½ΞΉΟƒΞΌΟ ΞΌΞ­ΟƒΟ‰ Ο„Ξ·Ο‚ Ξ΄ΞΉΞµΞΎΞ±Ξ³Ο‰Ξ³Ξ®Ο‚ ΞµΟΞµΟ…Ξ½ΟΞ½ Ξ³ΞΉΞ± ΞµΞ½Ξ΄ΞµΟ‡ΟΞΌΞµΞ½ΞµΟ‚ Ο€Ξ±ΟΞ±Ξ²Ξ¬ΟƒΞµΞΉΟ‚ ΞΊΞ±ΞΉ Ο„Ξ·Ο‚ Ξ­ΞΊΞ΄ΞΏΟƒΞ·Ο‚ Ξ±Ο€ΞΏΟ†Ξ¬ΟƒΞµΟ‰Ξ½ ΞΌΞµ Ο„ΞΉΟ‚ ΞΏΟ€ΞΏΞ―ΞµΟ‚ ΞµΟ€ΞΉΞ²Ξ¬Ξ»Ξ»ΞΏΞ½Ο„Ξ±ΞΉ Ξ±Ο€Ξ±Ξ³ΞΏΟΞµΟΟƒΞµΞΉΟ‚ Ξ® Ο€ΟΟΟƒΟ„ΞΉΞΌΞ±",1,"Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞΏΞ― ΞΞµΟƒΞΌΞΏΞ― ΞΊΞ±ΞΉ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
54,"Ξ¤ΞΏ Ξ¬ΟΞΈΟΞΏ 195 Ο„Ξ·Ο‚ Ξ£Ο…Ξ½ΞΈΞ®ΞΊΞ·Ο‚ Ξ³ΞΉΞ± Ο„Ξ· Ξ›ΞµΞΉΟ„ΞΏΟ…ΟΞ³Ξ―Ξ± Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚ (Ξ£Ξ›Ξ•Ξ•), ΞΊΞ±Ο„Ξ¬ Ο„ΞΏ ΞΏΟ€ΞΏΞ―ΞΏ Β«Ξ· ΞΞ½Ο‰ΟƒΞ· ΟƒΟ…ΞΌΟ€Ξ»Ξ·ΟΟΞ½ΞµΞΉ Ο„Ξ· Ξ΄ΟΞ¬ΟƒΞ· Ο„Ο‰Ξ½ ΞΊΟΞ±Ο„ΟΞ½ ΞΌΞµΞ»ΟΞ½ ΟƒΟ„ΞΏΞ½ Ο„ΞΏΞΌΞ­Ξ± Ο„ΞΏΟ… Ο„ΞΏΟ…ΟΞΉΟƒΞΌΞΏΟΒ», Ξ±Ο€ΞΏΟ„ΞµΞ»ΞµΞ― Ο€Ξ±ΟΞ¬Ξ΄ΞµΞΉΞ³ΞΌΞ±:","Ξ£Ο…Ξ½Ο„ΟΞ­Ο‡ΞΏΟ…ΟƒΞ±Ο‚ Ξ±ΟΞΌΞΏΞ΄ΞΉΟΟ„Ξ·Ο„Ξ±Ο‚ Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚","Ξ‘Ο€ΞΏΞΊΞ»ΞµΞΉΟƒΟ„ΞΉΞΊΞ®Ο‚ Ξ±ΟΞΌΞΏΞ΄ΞΉΟΟ„Ξ·Ο„Ξ±Ο‚ Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚","Ξ¥Ο€ΞΏΟƒΟ„Ξ·ΟΞΉΞΊΟ„ΞΉΞΊΞ®Ο‚ Ξ±ΟΞΌΞΏΞ΄ΞΉΟΟ„Ξ·Ο„Ξ±Ο‚ Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚","Ξ”ΞΉΞ±Ο„Ξ¬ΞΎΞµΟ‰Ο‚ Ο„Ξ·Ο‚ Ξ£Ο…Ξ½ΞΈΞ®ΞΊΞ·Ο‚ ΞΌΞµ Ξ¬ΞΌΞµΟƒΞΏ Ξ±Ο€ΞΏΟ„Ξ­Ξ»ΞµΟƒΞΌΞ±",2,"Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞΏΞ― ΞΞµΟƒΞΌΞΏΞ― ΞΊΞ±ΞΉ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
55,"Ξ— Ξ£Ο…Ξ½ΞΈΞ®ΞΊΞ· Ξ³ΞΉΞ± Ο„Ξ·Ξ½ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ® ΞΞ½Ο‰ΟƒΞ· (Ξ£Ξ•Ξ•) ΞΊΞ±ΞΉ Ξ· Ξ£Ο…Ξ½ΞΈΞ®ΞΊΞ· Ξ³ΞΉΞ± Ο„Ξ· Ξ›ΞµΞΉΟ„ΞΏΟ…ΟΞ³Ξ―Ξ± Ο„Ξ·Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΞ½Ο‰ΟƒΞ·Ο‚ (Ξ£Ξ›Ξ•Ξ•) Ξ­Ο‡ΞΏΟ…Ξ½ ΟƒΟ…Ξ½Ξ±Ο†ΞΈΞµΞ―:","Ξ“ΞΉΞ± Ο‡ΟΞΏΞ½ΞΉΞΊΟ Ξ΄ΞΉΞ¬ΟƒΟ„Ξ·ΞΌΞ± Ο€ΞµΞ½Ξ®Ξ½Ο„Ξ± (50) ΞµΟ„ΟΞ½","Ξ“ΞΉΞ± Ο‡ΟΞΏΞ½ΞΉΞΊΟ Ξ΄ΞΉΞ¬ΟƒΟ„Ξ·ΞΌΞ± ΞµΞΊΞ±Ο„Ο (100) ΞµΟ„ΟΞ½","Ξ“ΞΉΞ± Ξ±Ο€ΞµΟΞΉΟΟΞΉΟƒΟ„ΞΏ Ο‡ΟΞΏΞ½ΞΉΞΊΟ Ξ΄ΞΉΞ¬ΟƒΟ„Ξ·ΞΌΞ±","Ξ“ΞΉΞ± Ο‡ΟΞΏΞ½ΞΉΞΊΟ Ξ΄ΞΉΞ¬ΟƒΟ„Ξ·ΞΌΞ± Ο€ΞµΞ½Ξ®Ξ½Ο„Ξ± (50) ΞµΟ„ΟΞ½ Ο€ΞΏΟ… ΞΌΟ€ΞΏΟΞµΞ― Ξ½Ξ± Ξ±Ξ½Ξ±Ξ½ΞµΟ‰ΞΈΞµΞ― ΞΌΞ―Ξ± ΞΌΟΞ½ΞΏ Ο†ΞΏΟΞ¬ ΞΊΞ±Ο„ΟΟ€ΞΉΞ½ ΞΊΞΏΞΉΞ½Ξ®Ο‚ ΟƒΟ…ΞΌΟ†Ο‰Ξ½Ξ―Ξ±Ο‚ Ο„Ο‰Ξ½ ΟƒΟ…ΞΌΞ²Ξ±Ξ»Ξ»ΟΞΌΞµΞ½Ο‰Ξ½ ΞΌΞµΟΟΞ½ Ξ•Ξ½ΟΟ„Ξ·Ο„Ξ±: ΞΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ­Ο‚ Ξ•Ο€ΞΉΟƒΟ„Ξ®ΞΌΞµΟ‚",2,"Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞΏΞ― ΞΞµΟƒΞΌΞΏΞ― ΞΊΞ±ΞΉ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
1,"ΞΞΉ Ο€Ξ»Ξ­ΞΏΞ½ Ξ±ΞΎΞΉΟΞ»ΞΏΞ³ΞΏΞΉ ΟƒΟ…Ξ½Ο„ΞµΞ»ΞµΟƒΟ„Ξ­Ο‚ Ο„Ξ·Ο‚ Ο€Ξ±ΟΞ±Ξ³Ο‰Ξ³Ξ®Ο‚ ΞµΞ―Ξ½Ξ±ΞΉ:","Ξ§ΟΞ®ΞΌΞ±, ΞΞΌΟΞ»ΞΏΞ³Ξ± ΞΊΞ±ΞΉ ΞΞµΟ„ΞΏΟ‡Ξ­Ο‚","ΞΞ΄Ο‰Ο, ΞΞ΄Ξ±Ο†ΞΏΟ‚ ΞΊΞ±ΞΉ Ξ“Ξ½ΟΟƒΞ·","Ξ•Ο€ΞΉΟ‡ΞµΞΉΟΞ·ΞΌΞ±Ο„ΞΉΞΊΟΟ„Ξ·Ο„Ξ±, Ξ Ξ―ΟƒΟ„Ξ· ΞΊΞ±ΞΉ Marketing","ΞΞ΄Ξ±Ο†ΞΏΟ‚, Ξ•ΟΞ³Ξ±ΟƒΞ―Ξ± ΞΊΞ±ΞΉ ΞΞµΟ†Ξ¬Ξ»Ξ±ΞΉΞΏ",3,"ΞΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ­Ο‚ Ξ•Ο€ΞΉΟƒΟ„Ξ®ΞΌΞµΟ‚"
2,"Ξ— Ξ±ΞΌΞΏΞΉΞ²Ξ® Ο„ΞΏΟ… Ο€Ξ±ΟΞ±Ξ³Ο‰Ξ³ΞΉΞΊΞΏΟ ΟƒΟ…Ξ½Ο„ΞµΞ»ΞµΟƒΟ„Ξ® Ξ­Ξ΄Ξ±Ο†ΞΏΟ‚ ΞµΞ―Ξ½Ξ±ΞΉ:","Ξ¤ΞΏ ΞµΟ€ΞΉΟ„ΟΞΊΞΉΞΏ","Ξ Ο„ΟΞΊΞΏΟ‚","Ξ— Ξ­Ξ³Ξ³ΞµΞΉΞΏΟ‚ Ο€ΟΟΟƒΞΏΞ΄ΞΏΟ‚","Ξ¤ΞΏ ΞΊΞ­ΟΞ΄ΞΏΟ‚",2,"ΞΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ­Ο‚ Ξ•Ο€ΞΉΟƒΟ„Ξ®ΞΌΞµΟ‚"
3,"Ξ— Ξ±ΞΌΞΏΞΉΞ²Ξ® Ο„ΞΏΟ… Ο€Ξ±ΟΞ±Ξ³Ο‰Ξ³ΞΉΞΊΞΏΟ ΟƒΟ…Ξ½Ο„ΞµΞ»ΞµΟƒΟ„Ξ® ΞΊΞµΟ†Ξ¬Ξ»Ξ±ΞΉΞΏ ΞµΞ―Ξ½Ξ±ΞΉ:","Ξ¤ΞΏ ΞµΞ½ΞΏΞ―ΞΊΞΉΞΏ","Ξ Ο„ΟΞΊΞΏΟ‚","Ξ¤ΞΏ ΞµΟ€ΞΉΟ„ΟΞΊΞΉΞΏ","Ξ¤ΞΏ ΞΊΞ­ΟΞ΄ΞΏΟ‚",1,"ΞΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ­Ο‚ Ξ•Ο€ΞΉΟƒΟ„Ξ®ΞΌΞµΟ‚"
4,"Ξ£Ο„ΞΏ ΞΏΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΟ Ο€ΟΟΞ²Ξ»Ξ·ΞΌΞ± Ξ”Ξ•Ξ Ο€ΞµΟΞΉΞ»Ξ±ΞΌΞ²Ξ¬Ξ½ΞµΟ„Ξ±ΞΉ Ο„ΞΏ ΞµΟΟΟ„Ξ·ΞΌΞ±:","Ξ¤ΞΉ ΞΈΞ± Ο€Ξ±ΟΞ±Ο‡ΞΈΞµΞ―","Ξ ΟΟ‚ ΞΈΞ± Ο€Ξ±ΟΞ±Ο‡ΞΈΞµΞ―","Ξ ΟΟ‚ ΞΈΞ± Ξ΄ΞΉΞ±Ξ½ΞµΞΌΞ·ΞΈΞµΞ―","Ξ“ΞΉΞ±Ο„Ξ― ΞΈΞ± Ο€Ξ±ΟΞ±Ο‡ΞΈΞµΞ―",3,"ΞΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ­Ο‚ Ξ•Ο€ΞΉΟƒΟ„Ξ®ΞΌΞµΟ‚"
5,"Ξ ΞΏΞΉΞΏΟ‚ Ξ±Ο€Ο Ο„ΞΏΟ…Ο‚ Ο€Ξ±ΟΞ±ΞΊΞ¬Ο„Ο‰ ΞµΞ―Ξ½Ξ±ΞΉ ΞΏ ΞΊΟΟΞΉΞΏΟ‚ ΟƒΟ„ΟΟ‡ΞΏΟ‚ Ο„Ξ·Ο‚ ΞΏΞΉΞΊΞΏΞ½ΞΏΞΌΞ―Ξ±Ο‚;","ΞΞ± ΞΌΞµΞ³ΞΉΟƒΟ„ΞΏΟ€ΞΏΞΉΞ®ΟƒΞµΞΉ Ο„ΞΏ ΞµΞΉΟƒΟΞ΄Ξ·ΞΌΞ± Ξ³ΞΉΞ± ΟΞ»ΞΏΟ…Ο‚ Ο„ΞΏΟ…Ο‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚","ΞΞ± ΞµΟ€ΞΉΞ»ΟΟƒΞµΞΉ Ο„ΞΏ Ο€ΟΟΞ²Ξ»Ξ·ΞΌΞ± Ο„Ξ·Ο‚ ΟƒΟ€Ξ±Ξ½ΞΉΟΟ„Ξ·Ο„Ξ±Ο‚ Ο„Ο‰Ξ½ Ο€ΟΟΟ‰Ξ½","ΞΞ± ΞµΞΎΞΉΟƒΟΟƒΞµΞΉ Ο„Ξ·Ξ½ Ο€ΟΞΏΟƒΟ†ΞΏΟΞ¬ ΞΊΞ±ΞΉ Ο„Ξ· Ξ¶Ξ®Ο„Ξ·ΟƒΞ·","ΞΞ± ΞΌΞµΞΉΟΟƒΞµΞΉ Ο„Ξ· Ο†ΞΏΟΞΏΞ»ΞΏΞ³Ξ―Ξ± Ξ³ΞΉΞ± Ο„ΞΉΟ‚ ΞµΟ€ΞΉΟ‡ΞµΞΉΟΞ®ΟƒΞµΞΉΟ‚ ΞΊΞ±ΞΉ Ο„Ξ± Ξ½ΞΏΞΉΞΊΞΏΞΊΟ…ΟΞΉΞ¬",1,"ΞΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ­Ο‚ Ξ•Ο€ΞΉΟƒΟ„Ξ®ΞΌΞµΟ‚"
6,"Ξ ΟΟΞΏΟ‚ Ξ£Ο€Ξ±Ξ½ΞΉΟΟ„Ξ·Ο„Ξ± ΟƒΟ„Ξ·Ξ½ ΞΏΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ® ΞµΟ€ΞΉΟƒΟ„Ξ®ΞΌΞ· Ο€Ξ±ΟΞ±Ο€Ξ­ΞΌΟ€ΞµΞΉ:","Ξ£Ο„ΞΏΟ…Ο‚ Ο€ΞµΟΞΉΞΏΟΞΉΟƒΞΌΞ­Ξ½ΞΏΟ…Ο‚ Ο€ΟΟΞΏΟ…Ο‚ ΟƒΞµ ΟƒΟ‡Ξ­ΟƒΞ· ΞΌΞµ Ο„ΞΉΟ‚ Ξ±Ο€ΞµΟΞΉΟΟΞΉΟƒΟ„ΞµΟ‚ Ξ±Ξ½Ξ¬Ξ³ΞΊΞµΟ‚","Ξ£Ξµ Ξ±Ξ³Ξ±ΞΈΞ¬ Ο€ΞΏΞ»Ο…Ο„ΞµΞ»ΞµΞ―Ξ±Ο‚","Ξ£Ξµ Ξ±Ξ³Ξ±ΞΈΞ¬ Ο€ΟΟΟ„Ξ·Ο‚ Ξ±Ξ½Ξ¬Ξ³ΞΊΞ·Ο‚","Ξ£Ξµ Ξ±Ξ³Ξ±ΞΈΞ¬ ΞΌΞµ Ο…ΟΞ·Ξ»Ο ΞΊΟΟƒΟ„ΞΏΟ‚ ΞµΟ…ΞΊΞ±ΞΉΟΞ―Ξ±Ο‚",0,"ΞΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ­Ο‚ Ξ•Ο€ΞΉΟƒΟ„Ξ®ΞΌΞµΟ‚"
