#,question,a,b,c,d,correct_answer,category
27,Σε ποια από τις κατωτέρω περιπτώσεις δεν υφίσταται δικαίωμα πρόσβασης σε έγγραφα;,Όταν τα έγγραφα καλύπτονται από απόρρητο που προβλέπεται από ειδικές διατάξεις,Όταν τα έγγραφα αφορούν τις συζητήσεις του Υπουργικού Συμβουλίου,Όταν τα έγγραφα καλύπτονται από απόρρητο που προβλέπεται από ειδικές διατάξεις και όταν τα έγγραφα αφορούν τις συζητήσεις του Υπουργικού Συμβουλίου,Σε καμία από τις λοιπές απαντήσεις,0,Διοικητικό Δίκαιο
28,Σε ποια από τις κατωτέρω περιπτώσεις δύναται να αποκλεισθεί ή να περιορισθεί η αξίωση ιδιώτη για αποζημίωση από το δημόσιο;,Στην περίπτωση της παραγραφής,Στην περίπτωση του συμψηφισμού,Στην περίπτωση του συντρέχοντος πταίσματος του ιδιώτη,Σε όλες τις λοιπές περιπτώσεις,3,Διοικητικό Δίκαιο
29,Εκτελεστότητα σημαίνει ότι:,"Μία πράξη της Διοίκησης παράγει έννομα αποτελέσματα χωρίς άλλες προϋποθέσεις, από τη στιγμή που ολοκληρώνεται",Η Διοίκηση μπορεί να εφαρμόσει μέσα διοικητικού καταναγκασμού,Τα αρμόδια δικαστήρια διατάσσουν την εκτέλεση των διοικητικών πράξεων,Εάν εκτελεστεί μία διοικητική πράξη έχει τεκμήριο νομιμότητας,0,Διοικητικό Δίκαιο
30,Οι κανονιστικές πράξεις της Διοίκησης:,Εκδίδονται δυνάμει νομοθετικής εξουσιοδότησης,Ελέγχονται δικαστικώς μόνον παρεμπιπτόντως,Εκδίδονται από τον/ην Πρόεδρο της Δημοκρατίας,Όλες οι λοιπές απαντήσεις,0,Διοικητικό Δίκαιο
31,Η σύνθετη διοικητική ενέργεια λέγεται έτσι επειδή:,Είναι περίπλοκη η αρμοδιότητα της Διοίκησης και πρέπει να τη διακρίνουμε από τις απλές ενέργειες της Διοίκησης,"Εκτός από τη διοικητική πράξη, προβλέπεται και η έκδοση γνωμοδοτήσεων που πρέπει η Διοίκηση να λάβει υπόψη",Περιλαμβάνει την έκδοση περισσότερων διοικητικών πράξεων που ομοιάζουν μεταξύ τους,Περιλαμβάνει περισσότερες διοικητικές πράξεις κάθε μία από τις οποίες ενσωματώνεται στην επόμενη και όλες στην τελική διοικητική πράξη,3,Διοικητικό Δίκαιο
32,Η Διακήρυξη ενός δημόσιου διαγωνισμού σημαίνει ότι:,Η Διοίκηση εκδίδει μια κανονιστική διοικητική πράξη που απαιτείται να τύχει δημοσιότητας,Η Διοίκηση δεν δεσμεύεται από την αρχή της νομιμότητας όταν θέτει τους κανόνες διεξαγωγής του Διαγωνισμού,Πρόκειται για αποσπαστή ατομική διοικητική πράξη,"Η Διοίκηση εκδίδει μια κανονιστική διοικητική πράξη που επιτρέπεται να αλλάζει, κατά διακριτική ευχέρεια, κατά τη διενέργεια του διαγωνισμού",0,Διοικητικό Δίκαιο
33,Συνιστά σύνθετη διοικητική ενέργεια:,Η άσκηση του δικαιώματος προηγούμενης ακρόασης,Η υποχρέωση λήψης της γνώμης προβλεπόμενου οργάνου,"Η περίπτωση κατά την οποία για την επέλευση ενός τελικού αποτελέσματος απαιτούνται πολλές διαδοχικές πράξεις, η έκδοση καθεμίας εξ αυτών ωστόσο δεν είναι αναγκαία προϋπόθεση για την έκδοση της επόμενης","Για την επέλευση ενός τελικού αποτελέσματος απαιτούνται πολλές διαδοχικές πράξεις, η δε τελευταία ενσωματώνει όλες τις προηγούμενες",3,Διοικητικό Δίκαιο
34,Νόσφιση εξουσίας συντελείται στην περίπτωση:,Έκδοσης πράξης από πρόσωπο που δεν διαθέτει την ιδιότητα του διοικητικού οργάνου,Που εκδίδεται πράξη κατά παράβαση των κείμενων διατάξεων,Δημοσίευσης πράξης χωρίς να απαιτείται ρητά,Έκδοσης διοικητικής πράξης καθ’ υπέρβαση των αρμοδιοτήτων του διοικητικού οργάνου,0,Διοικητικό Δίκαιο
35,De facto διοικητικό όργανο θεωρείται:,Όταν δεν υφίσταται πράξη διορισμού του,Όταν υφίσταται πράξη διορισμού του αλλά αυτή πάσχει ακυρότητας,Όταν ενεργεί κατά νόσφιση εξουσίας,Όταν η πράξη διορισμού του είναι ανυπόστατη,1,Διοικητικό Δίκαιο
36,"Όταν η συγκρότηση συλλογικού οργάνου της διοίκησης προβλέπεται τριμελής, για να υφίσταται απαρτία:",Απαιτείται η παρουσία και των τριών μελών,Απαιτείται τουλάχιστον η παρουσία των δύο μελών και του/της γραμματέως,Αρκεί έστω η παρουσία δύο μελών,Στην πρώτη του συνεδρίαση απαιτείται παρουσία και των τριών μελών και στις μετέπειτα αρκεί η παρουσία τουλάχιστον δύο,0,Διοικητικό Δίκαιο
37,"Απόφαση συλλογικού οργάνου διοίκησης, το οποίο διέθετε νόμιμη απαρτία, χωρίς προσέλευση όμως τακτικού του μέλους λόγω μη πρόσκλησής του, είναι:",Μόνο το στοιχείο της ύπαρξης νόμιμης απαρτίας αρκεί για να είναι σύννομη,Μη σύννομη λόγω κακής σύνθεσης του οργάνου,Σύννομη εάν παρίστατο τουλάχιστον το αναπληρωματικό του μέλος,"Σύννομη εάν, στην αμέσως επόμενη συνεδρίαση του οργάνου, παρευρίσκεται το τακτικό μέλος που απουσίαζε και δεν θέσει σχετική αντίρρηση επί της διαδικασίας",1,Διοικητικό Δίκαιο
38,Η σύγκλιση συλλογικού οργάνου διοίκησης Ν.Π.Δ.Δ. είναι υποχρεωτική εάν:,"Εγγράφως το αιτηθεί το 1/2 τουλάχιστον του συνόλου των τακτικών του μελών, προσδιορίζοντας και το προς συζήτηση θέμα",Το αιτηθεί καθ’ οιοδήποτε τρόπο το 1/3 τουλάχιστον του συνόλου των τακτικών μελών του,"Εγγράφως το αιτηθεί το 1/3 τουλάχιστον του συνόλου των τακτικών μελών του, προσδιορίζοντας και το προς συζήτηση θέμα",Εγγράφως το αιτηθεί το εποπτεύον του Ν.Π.Δ.Δ. όργανο,2,Διοικητικό Δίκαιο
39,Η ψηφοφορία μελών συλλογικού οργάνου επί θέματος ημερήσιας διάταξης είναι:,"Φανερή, εκτός αν ο νόμος ορίζει διαφορετικά","Μυστική, εκτός αν ο νόμος ορίζει διαφορετικά",Φανερή ή μυστική ανάλογα με το είδος του προς ψήφιση θέματος,Αποκλειστικά μυστική,0,Διοικητικό Δίκαιο
40,Στην περίπτωση ισοψηφίας μελών απόφασης συλλογικού οργάνου διοίκησης με μυστική ψηφοφορία:,"Φανερώνει ο/η Πρόεδρος την ψήφο του/της, η οποία και θα υπερισχύσει",Επαναλαμβάνεται μία ακόμη φορά η ψηφοφορία και τυχόν νέα ισοψηφία ισοδυναμεί με αποδοχή,Επαναλαμβάνεται μία ακόμα φορά η ψηφοφορία και τυχόν νέα ισοψηφία οδηγεί σε νέα φανερή ψηφοφορία,Επαναλαμβάνεται μία ακόμη φορά η ψηφοφορία και τυχόν νέα ισοψηφία ισοδυναμεί με απόρριψη,3,Διοικητικό Δίκαιο
41,Η μη αναγραφή στο πρακτικό συλλογικού οργάνου διοίκησης της πράξης συγκρότησής του:,Δεν επηρεάζει τη νομιμότητα της σύνθεσης του οργάνου και ως εκ τούτου και το κύρος της απόφασης,"Επηρεάζει το κύρος της απόφασης του οργάνου, η οποία θα πάσχει ακυρότητας λόγω μη νόμιμης λειτουργίας του",Επηρεάζει τη νομιμότητα σύνθεσης του οργάνου λόγω ουσιώδους τυπικής ελλείψεως,Δεν επηρεάζει τη νομιμότητα σύνθεσης του οργάνου αρκεί σε επόμενο πρακτικό να αναγράφεται,0,Διοικητικό Δίκαιο
42,"Σε πενταμελές συλλογικό όργανο διοίκησης, εάν κάποιο μέλος εκλείψει:",Δεν είναι δυνατή η λειτουργία του καθόσον δεν υφίσταται απαρτία,Είναι δυνατή η λειτουργία του όχι όμως πέραν του τριμήνου,Είναι δυνατή η λειτουργία του μέχρι τη λήξη της θητείας του συλλογικού οργάνου,Είναι δυνατή η λειτουργία του όχι όμως πέραν του διμήνου,1,Διοικητικό Δίκαιο
43,Η γραμματέας συλλογικού οργάνου παραλείπει να αποστείλει σε δύο τακτικά μέλη του οργάνου την πρόσκληση με την ημερήσια διάταξη για τη συνεδρίαση του οργάνου:,Η συνεδρίαση είναι νόμιμη εάν παρίστανται όλα τα υπόλοιπα μέλη και σχηματίζουν απαρτία,Η συνεδρίαση είναι νόμιμη εάν παρίστανται τα αναπληρωματικά μέλη των δύο τακτικών μελών που δεν προσκλήθηκαν,Η συνεδρίαση είναι νόμιμη εάν τα δύο τακτικά μέλη παρίστανται παρόλο που δεν προσκλήθηκαν,Η συνεδρίαση είναι παράνομη σε κάθε περίπτωση διότι η πρόσκληση όλων των μελών είναι ουσιώδης τύπος της διαδικασίας,2,Διοικητικό Δίκαιο
44,Σε ποια από τις κατωτέρω περιπτώσεις το αποφασίζον όργανο μπορεί να εκδώσει πράξη διαφορετικού περιεχομένου από την άποψη του γνωμοδοτικού οργάνου και η πράξη αυτή να μην είναι ακυρωτέα εξ αυτού του λόγου;,"Στην περίπτωση της θετικής σύμφωνης γνώμης, καθώς και στην περίπτωση της απλής γνώμης",Στην περίπτωση της αρνητικής σύμφωνης γνώμης,"Στην περίπτωση της θετικής σύμφωνης γνώμης, στην περίπτωση της απλής γνώμης καθώς και στην περίπτωση της αρνητικής σύμφωνης γνώμης",Σε καμία από τις λοιπές απαντήσεις,0,Διοικητικό Δίκαιο
45,Έκδοση πράξης κατ’ εξουσιοδότηση υπογραφής λογίζεται ως:,Πράξη του εξουσιοδοτούμενου οργάνου,Πράξη του εξουσιοδοτούντος οργάνου,Πράξη του εξουσιοδοτούμενου οργάνου μέχρι την έγκριση αυτής από το εξουσιοδοτόν όργανο,Πράξη του εξουσιοδοτούμενου οργάνου υποδεέστερης τυπικής ισχύος,1,Διοικητικό Δίκαιο
46,Πριν την έκδοση δυσμενούς για τον/η διοικούμενο/η διοικητικής πράξης κατά δέσμια αρμοδιότητα του οργάνου:,Οφείλει το διοικητικό όργανο να προβεί σε ερώτημα προς τον/ην ιεραρχικά προϊστάμενο/η του εάν θα πρέπει να κληθεί σε προηγούμενη ακρόαση ο/η διοικούμενος/η,Πρέπει ο/η διοικούμενος/η να ενημερωθεί προφορικά για την επικείμενη δυσμενή πράξη,Δεν απαιτείται προηγούμενη κλήση του/της διοικουμένου/ης σε ακρόαση,Απαιτείται σε κάθε ενέργεια της διοίκησης προηγούμενη κλήση του/της διοικουμένου/ης σε ακρόαση,2,Διοικητικό Δίκαιο
47,"Στην περίπτωση συναρμοδιότητας οργάνων για την έκδοση πράξης, η έλλειψη υπογραφής του ενός οργάνου καθιστά την πράξη:","Ανυπόστατη, ως σχέδιο αυτής",Νομικά πλημμελή μέχρι την έγκρισή της από όργανο που είναι ιεραρχικά ανώτερο από αυτό του οποίου ελλείπει η υπογραφή,Εκτελεστή,Ακυρωτέα,0,Διοικητικό Δίκαιο
48,Η διοικητική εποπτεία:,Προβλέπεται από ειδικές διατάξεις,Δεν είναι σύννομη,Τεκμαίρεται,Αντιβαίνει στο Σύνταγμα,0,Διοικητικό Δίκαιο
49,Ο ιεραρχικός έλεγχος στη δημόσια διοίκηση:,Εφαρμόζεται στα υπουργεία αλλά όχι στο εσωτερικό των ΟΤΑ και άλλων ΝΠΔΔ,Ασκείται αποκλειστικά από τους πολιτικούς προϊσταμένους των διοικητικών υπηρεσιών,Ασκείται από κάθε ιεραρχικώς προϊστάμενο πρόσωπο,Ασκείται μόνον όταν προβλέπεται ειδικά από τον οργανισμό της υπηρεσίας,2,Διοικητικό Δίκαιο
50,Ποιες από τις κατωτέρω αναφερόμενες περιπτώσεις περιλαμβάνονται στην έννοια του ιεραρχικού ελέγχου;,Η περίπτωση του προληπτικού και του κατασταλτικού ελέγχου,Η περίπτωση του ελέγχου σκοπιμότητας και νομιμότητας,"Η περίπτωση της ιεραρχικής υποκατάστασης, όταν ρητά προβλέπεται σε διάταξη νόμου",Όλες οι λοιπές απαντήσεις,3,Διοικητικό Δίκαιο
51,Ποιο από τα παρακάτω είναι διφυές νομικό πρόσωπο:,Η Ολομέλεια Δικηγορικών Συλλόγων Ελλάδας,Η Εθνική Αρχή Διαφάνειας,Οι συνταγματικά κατοχυρωμένες Ανεξάρτητες Αρχές,Η Τράπεζα της Ελλάδος,3,Διοικητικό Δίκαιο
52,Οι συνταγματικά κατοχυρωμένες Ανεξάρτητες Αρχές υπόκεινται:,Σε ιεραρχικό έλεγχο,Σε κοινοβουλευτικό και δικαστικό έλεγχο,Σε διοικητική εποπτεία,Μόνο σε δικαστικό έλεγχο,1,Διοικητικό Δίκαιο
53,Όργανα Διοίκησης της Εθνικής Αρχής Διαφάνειας (ΕΑΔ) είναι το :,Συμβούλιο Διοίκησης και ο/η Εθνικός/ή Συντονιστής/ίστρια,Συμβούλιο Διοίκησης και ο/η Διοικητής/ήτρια,Διοικητικό Συμβούλιο και ο/η Ειδικός/ή Γραμματέας,Διοικητικό Συμβούλιο και ο/η Γενικός/ή Επιθεωρητής/ήτρια,1,Διοικητικό Δίκαιο
54,Ποιο ή ποια από τα κατωτέρω όργανα ασκούν συμβουλευτικές ή αποφασιστικές αρμοδιότητες για τη διοίκηση;,Το Νομικό Συμβούλιο του Κράτους,Το Συμβούλιο της Επικρατείας και το Ελεγκτικό Συνέδριο,Το Ελεγκτικό Συνέδριο και το Νομικό Συμβούλιο του Κράτους,"Το Συμβούλιο της Επικρατείας, το Ελεγκτικό Συνέδριο και το Νομικό Συμβούλιο του Κράτους",3,Διοικητικό Δίκαιο
55,Αποτελεί αρχή που διέπει τον κρατικό προϋπολογισμό:,Η αρχή της ενότητας,Η αρχή της κρατικής κυριαρχίας,Η αρχή της χρηστής διοίκησης,Η αρχή της προστατευομένης εμπιστοσύνης του/της διοικουμένου/ης,0,Διοικητικό Δίκαιο
56,Σε τι συνίσταται η κατά το Σύνταγμα μειωμένη δημοσιονομική πρωτοβουλία της Βουλής:,"Στη μη δυνατότητά της με πρόταση νόμου να αυξήσει σε βάρος του Δημοσίου κρατικές δαπάνες, που προορίζονται για μισθό, σύνταξη ή γενικά για όφελος κάποιου προσώπου","Στην αρχή της φειδωλής διαχείρισης, που πρέπει να διέπει τον προϋπολογισμό της",Στην αρχή της ισοσκέλισης μεταξύ εσόδων και δαπανών του προϋπολογισμού της,Όλες οι λοιπές απαντήσεις,0,Διοικητικό Δίκαιο
57,Το κώλυμα συμφέροντος δημοσίου/ας υπαλλήλου:,Δεν θίγει το κύρος της διοικητικής πράξης που εκδίδεται από τον υπάλληλο,Ενεργοποιείται μόνον εφόσον υποβληθεί σχετικό αίτημα εξαίρεσης από το/ην διοικούμενο/η κατά του υπαλλήλου,Δεν υφίσταται όταν υπάλληλοι με στενές συγγενικές σχέσεις συμμετέχουν στο ίδιο συλλογικό όργανο της διοίκησης,Ισχύει οποτεδήποτε ο/η υπάλληλος έχει έκδηλο συμφέρον από την έκβαση μιας υπόθεσης,3,Διοικητικό Δίκαιο
58,"Το αρμόδιο διοικητικό όργανο εκδίδει πράξη με την οποία ο Α, δημόσιος υπάλληλος, τίθεται σε αυτοδίκαιη αργία λόγω άσκησης κατά αυτού ποινικής δίωξης. Επιβάλλεται πριν τη λήψη του εν λόγω μέτρου η ακρόαση του Α;","Δεν απαιτείται προηγούμενη ακρόαση, διότι η θέση σε αργία αποτελεί πράξη δέσμιας αρμοδιότητας","Απαιτείται προηγούμενη ακρόαση, διότι η θέση σε αργία αποτελεί δυσμενές μέτρο","Απαιτείται προηγούμενη ακρόαση, διότι η θέση σε αργία αποτελεί πράξη διακριτικής ευχέρεια",Δεν απαιτείται προηγούμενη ακρόαση μόνον στην περίπτωση που ο Α έχει εκθέσει εγγράφως τις απόψεις του με υπόμνημα προς το αρμόδιο για τη θέση του σε αργία όργανο,0,Διοικητικό Δίκαιο
59,Η μονιμότητα:,"Αναφέρεται στις/ους δημόσιες/ους υπαλλήλους και τις/τους καθηγήτριες/ητές των Ανώτατων Εκπαιδευτικών Ιδρυμάτων (ΑΕΙ), ενώ η ισοβιότητα αφορά στις/ους δικαστικές/ούς λειτουργούς",Δεν ταυτίζεται με την ισοβιότητα,"Και η ισοβιότητα είναι ταυτόσημες έννοιες. Η μόνη διαφορά τους έγκειται στο ότι η πρώτη αφορά τις/τους δημόσιες/ους υπαλλήλους, ενώ η δεύτερη αναφέρεται στις/ους δικαστικές/ούς λειτουργούς και τις/τους καθηγήτριες/ητές των Ανώτατων Εκπαιδευτικών Ιδρυμάτων (ΑΕΙ)",Είναι έννοια ταυτόσημη με την ισοβιότητα,1,Διοικητικό Δίκαιο
60,Η υποχρέωση κλήσης σε απολογία του/της πειθαρχικώς εγκαλουμένου/ης:,"Δεν είναι κατοχυρωμένη, αλλά νομολογιακώς προβλεπόμενη υποχρέωση",Είναι συνταγματικώς κατοχυρωμένη υποχρέωση,Είναι συνταγματικώς και νομοθετικώς κατοχυρωμένη υποχρέωση,Είναι εθιμική υποχρέωση,2,Διοικητικό Δίκαιο
61,Ο παράνομος διορισμός δημόσιου/ας υπαλλήλου λόγω επιγενομένης διαπίστωσης έλλειψης ιθαγένειας:,Δεν επιτρέπεται να ανακληθεί,Ανακαλείται ελευθέρως,Ανακαλείται κατ΄ αρχήν εντός διετίας,Ανακαλείται μόνον εκ λόγων δημόσιου συμφέροντος,1,Διοικητικό Δίκαιο
62,Ο δόλιος διορισμός δημόσιου/ας υπαλλήλου:,Δεν επιτρέπεται να ανακληθεί,Ανακαλείται ελευθέρως και ανεξαρτήτως παρέλευσης χρόνου,Ανακαλείται κατ΄ αρχήν εντός διετίας,Ανακαλείται μόνον εκ λόγων δημόσιου συμφέροντος,1,Διοικητικό Δίκαιο
63,"Όταν  υπάλληλος φυλακιστεί, τίθεται σε:",Αργία,Διαθεσιμότητα,Παύση,Προσωρινή απόλυση,0,Διοικητικό Δίκαιο
64,Η ανάκριση:,Εντάσσεται στην πειθαρχική διαδικασία,Δεν εντάσσεται στην πειθαρχική διαδικασία,Άλλοτε εντάσσεται και άλλοτε δεν εντάσσεται στην πειθαρχική διαδικασία,Είναι πράξη της προδικασίας,0,Διοικητικό Δίκαιο
65,Η επιλογή σε θέση Προϊσταμένου/ης έχει την έννοια:,Της ανάληψης καθηκόντων ευθύνης,Της ανάθεσης πρόσθετων καθηκόντων,Της βαθμολογικής εξέλιξης,Της αλλαγής φορέα,0,Διοικητικό Δίκαιο
66,Ο/Η υπάλληλος επί θητεία που υπηρετεί στο Δημόσιο:,Χαίρει μονιμότητας,Δεν χαίρει μονιμότητας,Χαίρει εγγυήσεων ανάλογων της μονιμότητας,Χαίρει των εγγυήσεων της μονιμότητας κατά την διάρκεια της θητείας του,3,Διοικητικό Δίκαιο
67,Το Σύνταγμά μας προβλέπει:,Την αρμοδιότητα των ΟΤΑ για τον χωροταξικό σχεδιασμό,Την επιβολή πειθαρχικών ποινών στους αιρετούς από διοικητικά δικαστήρια,Την άμεση εκλογή των αιρετών,Τη δημιουργία αναγκαστικών συνδέσμων ΟΤΑ,3,Διοικητικό Δίκαιο
68,Γενική αρμοδιότητα έχει στους δήμους:,Ο/Η δήμαρχος,Το δημοτικό συμβούλιο,Η δημοτική επιτροπή,Ο/Η κάθε αντιδήμαρχος για τον τομέα ευθύνης του/της,1,Διοικητικό Δίκαιο
69,Η προσβολή αποφάσεων του Δημάρχου με προσφυγή:,Μπορεί να γίνει από οποιοδήποτε πρόσωπο χωρίς να απαιτείται έννομο συμφέρον,Γίνεται ενώπιον του/της Γραμματέα/ως της οικείας Αποκεντρωμένης Διοίκησης,Γίνεται ενώπιον της Ειδικής Επιτροπής Εποπτείας,Γίνεται απευθείας στα τακτικά διοικητικά δικαστήρια,1,Διοικητικό Δίκαιο
70,Οι αντιπεριφερειάρχες:,Εκλέγονται άμεσα στο αξίωμά τους,Δεν ασκούν αρμοδιότητες του περιφερειακού συμβουλίου,Συμμετέχουν όλοι/ες στην περιφερειακή επιτροπή,Δεν είναι μέλη του περιφερειακού συμβουλίου,1,Διοικητικό Δίκαιο
71,Η διοικητική διαίρεση της Ελλάδας διαμορφώνεται με κριτήριο:,Την τοπική ιστορία κάθε περιοχής,Με βάση της εντολές της Ευρωπαϊκής Ένωσης,"Τις γεωοικονομικές, κοινωνικές και συγκοινωνιακές συνθήκες",Την επιθυμία των κατοίκων της περιοχής,2,Διοικητικό Δίκαιο
72,Η αρχή της διαφάνειας κατά τη διαχείριση των πόρων της τοπικής αυτοδιοίκησης:,Επιτρέπει τον έλεγχο σκοπιμότητας ειδικά ως προς την οικονομική διαχείριση των ΟΤΑ,Συνεπάγεται την υποχρεωτική διαχείριση των λογαριασμών τους από την Τράπεζα της Ελλάδος,Συνεπάγεται υποχρεώσεις δημοσιότητας προς το κοινό και ανακοίνωσης σχετικών πληροφοριών σε κρατικές αρχές,Καλύπτεται μέσω των δημοσιονομικών ελέγχων που ασκούν τα όργανα του Ελεγκτικού Συνεδρίου,2,Διοικητικό Δίκαιο
73,Ως Γραμματέας Αποκεντρωμένης Διοίκησης μπορεί να επιλεγεί:,Τόσο δημόσιος/α υπάλληλος όσο και ιδιώτης,Μόνο ιδιώτης,Μόνον δημόσιος/α υπάλληλος,Καταρχήν δημόσιος/α υπάλληλος και κατ’ εξαίρεση ιδιώτης,0,Διοικητικό Δίκαιο
74,"Στις τοπικές υποθέσεις περιλαμβάνονται, μεταξύ άλλων, τα ακόλουθα πεδία δημόσιας πολιτικής:","Ανάπτυξη, περιβάλλον, απασχόληση, παιδεία, πολιτική προστασία","Ανάπτυξη, απασχόληση, πολιτισμός, δημόσια τάξη, δικαιοσύνη","Περιβάλλον, πολιτισμός, αθλητισμός, πολιτική προστασία, δημόσια τάξη","Αθλητισμός, παιδεία, δικαιοσύνη, κοινωνική αλληλεγγύη, αγροτική ανάπτυξη",0,Διοικητικό Δίκαιο
75,Τα νομικά πρόσωπα δημοσίου δικαίου:,Έχουν διοικητική και περιουσιακή αυτοτέλεια,Δεν έχουν διοικητική αυτοτέλεια,Ιδρύονται και από την ιδιωτική πρωτοβουλία,Διέπονται από την αρχή του κλειστού αριθμού,0,Διοικητικό Δίκαιο
76,ΔΕΝ αποτελεί είδος αρμοδιότητας διοικητικού οργάνου:,Συλλογική,Γνωμοδοτική,Αποφασιστική,Παρεμπίπτουσα,3,Διοικητικό Δίκαιο
77,ΔΕΝ αποτελεί είδος γνώμης στα πλαίσια γνωμοδοτικής διαδικασίας:,Πρόταση,Σύμφωνη,Απλή,Συντρέχουσα,3,Διοικητικό Δίκαιο
78,Η επανεξέταση κατά νόμο και κατ’ ουσίαν πράξης από άλλο διοικητικό όργανο από αυτό που την εξέδωσε και το οποίο δύναται να την ακυρώσει εν όλω ή εν μέρει ή να την τροποποιήσει τελείται κατά την άσκηση:,Ειδικής διοικητικής προσφυγής,Αίτησης θεραπείας,Αίτησης ακυρώσεως,Ενδικοφανούς προσφυγής,3,Διοικητικό Δίκαιο
79,Στην περίπτωση άσκησης ποιας διοικητικής προσφυγής διενεργείται μόνο έλεγχος νομιμότητας της διοικητικής πράξης:,Της ειδικής,Της ενδικοφανούς,Και της ειδικής και της ενδικοφανούς,Σε καμία από τις λοιπές απαντήσεις,0,Διοικητικό Δίκαιο
80,"Η αρνητική σύμφωνη γνώμη, εφόσον δεν ακολουθήσει η πράξη του αποφασίζοντος οργάνου, είναι:",Εκτελεστή πράξη,Μη εκτελεστή πράξη,Διαπιστωτική πράξη,Διαδικαστική ενέργεια Ενότητα: Ευρωπαϊκοί Θεσμοί και Δίκαιο,0,Διοικητικό Δίκαιο
1,Υπάρχει κάποια από τις τρεις ιδρυτικές των Ευρωπαϊκών Κοινοτήτων συνθήκες που να ισχύει μέχρι και σήμερα;,"Όχι, καμία","Ναι, η Συνθήκη για την Ευρωπαϊκή Κοινότητα Άνθρακα και Χάλυβα (ΕΚΑΧ)","Ναι, η Συνθήκη για την Ευρωπαϊκή Οικονομική Κοινότητα (ΕΟΚ)","Ναι, η Συνθήκη για την Ευρωπαϊκή Κοινότητα Ατομικής Ενέργειας (ΕΚΑΕ)",3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
2,Πόσα είναι σήμερα τα κράτη μέλη της Ευρωπαϊκής Ένωσης;,Είκοσι τρία (23),Είκοσι επτά (27),Είκοσι οχτώ (28),Τριάντα (30),1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
3,Ποιο από τα παρακάτω κράτη-μέλη της Ευρωπαϊκής Ένωσης ΔΕΝ είναι μέλος της ζώνης Σένγκεν;,Η Κροατία,Η Κύπρος,Η Σουηδία,Η Φινλανδία,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
4,Σε ποιον από τους παρακάτω διεθνείς οργανισμούς είναι μέλος η Ευρωπαϊκή Ένωση;,Στον Οργανισμό Ηνωμένων Εθνών (ΟΗΕ),Στον Παγκόσμιο Οργανισμό Εμπορίου (ΠΟΕ),Στον Οργανισμό του Συμφώνου του Βορείου Ατλαντικού (ΝΑΤΟ),Στον Οργανισμό Οικονομικής Συνεργασίας και Ανάπτυξης (ΟΟΣΑ),1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
5,Οι πολίτες της Ευρωπαϊκής Ένωσης που διαμένουν σε κράτος διαφορετικό από εκείνο της ιθαγένειάς τους:,Έχουν το δικαίωμα εκλέγειν και εκλέγεσθαι στις δημοτικές και στις ευρωπαϊκές εκλογές,"Έχουν το δικαίωμα εκλέγειν και εκλέγεσθαι στις δημοτικές, όχι όμως στις ευρωπαϊκές εκλογές","Έχουν το δικαίωμα εκλέγειν και εκλέγεσθαι στις ευρωπαϊκές, όχι όμως στις δημοτικές εκλογές",Δεν έχουν το δικαίωμα εκλέγειν και εκλέγεσθαι στις δημοτικές και στις ευρωπαϊκές εκλογές,0,Ευρωπαϊκοί Θεσμοί και Δίκαιο
6,Οι ελευθερίες της εσωτερικής αγοράς δεν περιλαμβάνουν:,Την ελεύθερη κυκλοφορία κεφαλαίων,Την ελευθερία του επιχειρείν,Την ελευθερία εγκατάστασης,Την ελεύθερη κυκλοφορία εμπορευμάτων,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
7,Το απορρέον από την ιθαγένεια της Ευρωπαϊκής Ένωσης δικαίωμα ελεύθερης κυκλοφορίας και διαμονής στην επικράτεια των κρατών-μελών επιτρέπεται να περιορισθεί για λόγους:,Δημόσιας τάξης και δημόσιας υγείας,"Δημόσιας τάξης, δημόσιας ασφάλειας και δημόσιας υγείας",Δημόσιας τάξης και δημόσιας ηθικής,Δημόσιας ασφάλειας και δημόσιας υγείας,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
8,Σε ποιον από τους παρακάτω τομείς πολιτικής η Ευρωπαϊκή Ένωση διαθέτει συντρέχουσα αρμοδιότητα:,Προστασία και βελτίωση της ανθρώπινης υγείας,Πολιτική προστασία,Νομισματική πολιτική,Εσωτερική αγορά,3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
9,Στους τομείς των μεταφορών και της ενέργειας:,Η Ευρωπαϊκή Ένωση έχει αποκλειστική αρμοδιότητα,Η Ευρωπαϊκή Ένωση έχει συντρέχουσα αρμοδιότητα με τα κράτη μέλη,Η Ευρωπαϊκή Ένωση στερείται αρμοδιότητας.,"Η Ευρωπαϊκή Ένωση έχει αρμοδιότητα να αναλαμβάνει δράσεις για να υποστηρίζει, να συμπληρώνει ή να συντονίζει τη δράση των κρατών μελών",1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
