#,question,a,b,c,d,correct_answer,category
55,Στην αρμοδιότητα της Ολομέλειας της Βουλής ΔΕΝ ανήκει:,Η ψήφιση του Απολογισμού του Κράτους,Η ψήφιση του Γενικού Ισολογισμού του Κράτους,Ο Ισολογισμός και ο Απολογισμός της Βουλής,Η εκτέλεση του Κρατικού Προϋπολογισμού,3,Διοικητικό Δίκαιο
56,Ο κρατικός προϋπολογισμός ως πολιτειακή πράξη έχει την ακόλουθη σημασία:,Λογιστική,Πολιτική,Νομική,Όλες οι λοιπές απαντήσεις,3,Διοικητικό Δίκαιο
57,Ο κρατικός προϋπολογισμός είναι:,Τυπικός νόμος,Ουσιαστικός νόμος,Διοικητική πράξη,Εξουσιοδότηση προς την κυβέρνηση για την εκτέλεση συγκεκριμένων υποχρεώσεων,0,Διοικητικό Δίκαιο
58,"Σύμφωνα με το νόμο, ΔΕΝ διορίζονται δημόσιοι υπάλληλοι:",Όσοι απολύθηκαν για πειθαρχικούς λόγους,Όσοι έχουν υπηρετήσει σε ιδιωτικό τομέα,Όσοι έχουν λιγότερα από 10 χρόνια εμπειρίας,Όσοι δεν γνωρίζουν ελληνικά,0,Διοικητικό Δίκαιο
59,Οι οργανικές θέσεις συστήνονται με νομοθετικό κείμενο για την πλήρωση:,Πάγιων και διαρκών λειτουργικών αναγκών της υπηρεσίας,Διαρκών ή έκτακτων λειτουργικών αναγκών της υπηρεσίας,Πάγιων και διαρκών ή και έκτακτων λειτουργικών αναγκών της υπηρεσίας,Πάγιων και έκτακτων λειτουργικών αναγκών της υπηρεσίας,0,Διοικητικό Δίκαιο
60,Για να διοριστεί κάποιος/α ως δημόσιος/α υπάλληλος:,"Δεν πρέπει να είναι αλλοδαπός/ή παρά μόνον Έλληνας/ίδα πολίτης,",Μπορεί να είναι είτε Έλληνας/ίδα πολίτης είτε Έλληνας/ίδα ομογενής είτε πολίτης της Ευρωπαϊκής Ένωσης,"Πρέπει να είναι Έλληνας/ίδα ομογενής,",Πρέπει να είναι ενωσιακός (κοινοτικός) πολίτης,1,Διοικητικό Δίκαιο
61,Ο νόμιμος διορισμός δημόσιου/ας υπαλλήλου:,Δεν επιτρέπεται να ανακληθεί,Ανακαλείται ελευθέρως,Ανακαλείται κατ΄ αρχήν εντός διετίας,Ανακαλείται μόνον εκ λόγων δημόσιου συμφέροντος,0,Διοικητικό Δίκαιο
62,Η υποβολή παραίτησης:,Επιφέρει τη λύση της δημοσιο-υπαλληλικής σχέσης αυτοδικαίως από την υποβολή της,Επιφέρει τη λύση της δημοσιο-υπαλληλικής σχέσης εάν παρέλθουν δύο μήνες από την υποβολή της εκτός εάν στο μεταξύ έχει γίνει δεκτή από τη διοίκηση,Επιφέρει τη λύση της υπαλληλικής σχέσης μόνον όταν την κάνει αποδεκτή το αρμόδιο όργανο,Επιφέρει τη λύση της υπαλληλικής σχέσης μετά την πάροδο 15ημέρου,1,Διοικητικό Δίκαιο
63,Η απόσπαση έχει την έννοια:,Της αλλαγής θέσης εντός του ίδιου φορέα,Της αλλαγής φορέα,Της αλλαγής υπουργείου ή Ν.Π.Δ.Δ.,Της προσωρινής παροχής υπηρεσιών σε άλλη υπηρεσία,3,Διοικητικό Δίκαιο
64,Η ένορκη διοικητική εξέταση:,Εντάσσεται στην πειθαρχική διαδικασία,Δεν εντάσσεται στην πειθαρχική διαδικασία,Άλλοτε εντάσσεται και άλλοτε δεν εντάσσεται στην πειθαρχική διαδικασία,Δεν εντάσσεται στην διοικητική διαδικασία,1,Διοικητικό Δίκαιο
65,Η κλήση σε απολογία πειθαρχικώς εγκαλουμένου/ης:,Συνιστά υποχρέωση της διοίκησης,Δεν συνιστά υποχρέωση,"Έχει διαδικαστικό χαρακτήρα, χωρίς να επάγεται συνέπειες",Καμία από τις λοιπές απαντήσεις,0,Διοικητικό Δίκαιο
66,Το Ειδικό Επιστημονικό Προσωπικό (Π.Δ. 410/1988) που υπηρετεί στο Δημόσιο:,Χαίρει μονιμότητας,Δεν χαίρει μονιμότητας,Χαίρει νομοθετικών εγγυήσεων ανάλογων της μονιμότητας,Μπορεί να απολυθεί οποτεδήποτε,2,Διοικητικό Δίκαιο
67,Οι Κεντρικοί Αυτοτελείς Πόροι που μεταβιβάζονται από τον κρατικό προϋπολογισμό στους ΟΤΑ:,Διατίθενται αποκλειστικά και μόνο για τη χρηματοδότηση επενδύσεων,Είναι οι πόροι των δήμων από τα ανταποδοτικά τέλη,Προέρχονται από έσοδα φόρων που εισπράττει το κράτος και αποδίδει στους ΟΤΑ,Αποδίδονται μόνο στους φτωχότερους δήμους,2,Διοικητικό Δίκαιο
68,Η κρατική εποπτεία στις πράξεις των δήμων ασκείται:,Από τον/ην Περιφερειάρχη,Από το Περιφερειακό Συμβούλιο,Από τον/η Συνήγορο του Πολίτη,Από τον/η Γραμματέα της οικείας Αποκεντρωμένης Διοίκησης,3,Διοικητικό Δίκαιο
69,Οι κανονιστικές αποφάσεις του δήμου:,Εκδίδονται από τον/ην Δήμαρχο,Λαμβάνονται από το δημοτικό συμβούλιο με την απόλυτη πλειοψηφία των μελών του,Λαμβάνονται από το δημοτικό συμβούλιο και εγκρίνονται από τον/η Δήμαρχο,Αποστέλλονται υποχρεωτικά στο/η Γραμματέα της Αποκεντρωμένης Διοίκησης προς έλεγχο σκοπιμότητας,1,Διοικητικό Δίκαιο
70,Η τοπική αυτοδιοίκηση στην Ελλάδα:,Διαθέτει κανονιστική αυτονομία,Διαθέτει οικονομική αυτοτέλεια,Διαθέτει φορολογική αυτοτέλεια,Έχει γενική αρμοδιότητα για τις δημόσιες υποθέσεις,1,Διοικητικό Δίκαιο
71,Ο/Η δήμαρχος είναι ο/η προϊστάμενος/η:,Όλων των υπηρεσιών και των υπαλλήλων του δήμου,Όλων των υπηρεσιών του δήμου καθώς και των νομικών του προσώπων,Όλων των υπαλλήλων του δήμου χωρίς όμως να έχει πειθαρχική δικαιοδοσία επί αυτών,Μόνο των Γενικών Διευθυντών/ριών του δήμου,0,Διοικητικό Δίκαιο
72,Τα ανταποδοτικά τέλη των δήμων:,Μπορούν να καλύπτουν μόνο τα κόστη μισθοδοσίας,Πρέπει να καλύπτουν το κόστος των αντίστοιχων υπηρεσιών,Προσφέρουν έσοδα τα οποία μπορούν να καλύψουν τα κόστη και άλλων υπηρεσιών. Για παράδειγμα τα έσοδα από το τέλος ύδρευσης να καλύψουν μέρος του κόστους των παιδικών σταθμών,Αποδίδονται κατά το ήμισυ στην οικεία Αποκεντρωμένη Διοίκηση,1,Διοικητικό Δίκαιο
73,Οι πειθαρχικές ποινές σε αιρετά όργανα ΟΤΑ:,Επιβάλλονται από ειδικό πειθαρχικό συμβούλιο που αποτελείται κατά πλειοψηφία από εκπροσώπους ενώσεων ΟΤΑ,Επιβάλλονται υποχρεωτικά όταν καταδικασθεί ο αιρετός/ η αιρετή από ποινικό δικαστήριο σε πρώτο βαθμό για κακούργημα ή πλημμέλημα.,Επιβάλλονται με τη σύμφωνη γνώμη συμβουλίου που αποτελείται κατά πλειοψηφία από τακτικούς δικαστές,Επιβάλλονται από τον/ην Υπουργό Εσωτερικών με τη σύμφωνη γνώμη του/της Συντονιστή/ριας της οικείας Αποκεντρωμένης Διοίκησης,2,Διοικητικό Δίκαιο
74,"Ένας Οργανισμός Τοπικής Αυτοδιοίκησης (ΟΤΑ), προκειμένου να φέρει σε πέρας την αποστολή του με αποτελεσματικό τρόπο, απαιτείται να διαθέτει τα απαιτούμενα για τον σκοπό αυτόν μέσα οργανωτικοδιοικητικής, οικονομικής και λειτουργικής φύσης. Τα ως άνω αναφέρονται στην αρχή:",Της διαφάνειας και λογοδοσίας,Της πληρότητας και αποκλειστικότητας,Της επάρκειας και καταλληλότητας,Της συνεργασίας και του συντονισμού,2,Διοικητικό Δίκαιο
75,Οι αυτοτελείς ή αποκεντρωμένες δημόσιες υπηρεσίες δύνανται να:,Υπάγονται οργανωτικά σε ορισμένο Υπουργείο,Υπάγονται οργανωτικά σε ορισμένο Υπουργείο και να χαίρουν δημοσιονομικής αυτοτέλειας,Υπάγονται οργανωτικά σε ορισμένο Υπουργείο και να χαίρουν διοικητικής αυτοτέλειας,Υπάγονται οργανωτικά σε ορισμένο Υπουργείο και να χαίρουν δημοσιονομικής και διοικητικής αυτοτέλειας,3,Διοικητικό Δίκαιο
76,Τα Δημόσια Νομικά Πρόσωπα είναι μορφές οργάνωσης της Δημόσιας Διοίκησης που:,Διέπονται πάντα από το Δημόσιο Δίκαιο,Δεν διέπονται από την αρχή της νομιμότητας που εφαρμόζεται σε σχέση με τη δράση της Δημόσιας Διοίκησης,Μπορεί να διέπονται και από το Ιδιωτικό Δίκαιο,Διέπονται πάντα από το Δημόσιο Δίκαιο και μπορεί να διέπονται και από το Ιδιωτικό Δίκαιο,2,Διοικητικό Δίκαιο
77,"Στο πλαίσιο σύναψης δημόσιας σύμβασης, ο/η έχων/ουσα έννομο συμφέρον κατά εκτελεστής πράξης αναθέτοντος δημόσιου φορέα ασκεί:",Ιεραρχική προσφυγή,Αίτηση θεραπείας,Ειδική προσφυγή,Προδικαστική προσφυγή,3,Διοικητικό Δίκαιο
78,"Στη γενική προθεσμία των πενήντα (50) ημερών, μέσα στην οποία η Διοίκηση οφείλει να διεκπεραιώνει υποθέσεις διοικουμένων, περιλαμβάνονται οι πράξεις επί:",Ενδικοφανούς προσφυγής,Ειδικής προσφυγής,Απλών αιτήσεων,Όλες οι λοιπές απαντήσεις,2,Διοικητικό Δίκαιο
79,Διοικητική προσφυγή ΔΕΝ αποτελεί:,Η ιεραρχική,Η ενδικοφανής,Η ένδικη,Η ειδική,2,Διοικητικό Δίκαιο
80,Η μη νόμιμη κοινοποίηση της διοικητικής πράξης:,Την καθιστά παράνομη,Δεν επηρεάζει το κύρος της,Την καθιστά άλλοτε νόμιμη και άλλοτε παράνομη,Την καθιστά ανυπόστατη,1,Διοικητικό Δίκαιο
81,Η μη πρωτοκόλληση διοικητικής πράξης:,Θίγει το κύρος της πράξης,Θίγει το κύρος της πράξης αλλά μπορεί να θεραπευθεί με τη δημοσίευση της πράξης,Της προσδίδει χαρακτήρα προπαρασκευαστικής πράξης,"Δεν θίγει το κύρος της πράξης, εκτός αν ορίζει άλλως ο νόμος Ενότητα: Ευρωπαϊκοί Θεσμοί και Δίκαιο",3,Διοικητικό Δίκαιο
1,Οι ιδρυτικές Συνθήκες της Ένωσης είναι:,Η Συνθήκη Ευρωπαϊκή Οικονομική Κοινότητα (ΕΟΚ) και η Ενιαία Ευρωπαϊκή Πράξη,"Οι Συνθήκες για την Ευρωπαϊκή Κοινότητα Άνθρακα και Χάλυβα (ΕΚΑΧ), για την Ευρωπαϊκή Οικονομική Κοινότητα (ΕΟΚ) και για την Ευρωπαϊκή Κοινότητα Ατομικής Ενέργειας (ΕΚΑΕ)",Οι Συνθήκες της Ρώμης και της Νίκαιας,Η Συνθήκη για την Ευρωπαϊκή Ένωση (ΣΕΕ) και η Συνθήκη για τη Λειτουργία της Ευρωπαϊκής Ένωσης (ΣΛΕΕ),1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
2,Η Ευρωπαϊκή Ένωση:,Είναι κράτος,Είναι ομοσπονδία,Είναι υπερεθνική οντότητα,Έχει το δικό της Σύνταγμα,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
3,"Η Ελβετία, η Ισλανδία και η Νορβηγία:",Είναι μέλη της Ευρωπαϊκής Ένωσης,"Δεν είναι μέλη της Ευρωπαϊκής Ένωσης, είναι όμως μέλη της ζώνης Σένγκεν","Δεν είναι μέλη της Ευρωπαϊκής Ένωσης, είναι όμως μέλη της ζώνης του Ευρώ","Δεν είναι μέλη ούτε της Ευρωπαϊκής Ένωσης, ούτε της ζώνης Σένγκεν, ούτε της ζώνης του Ευρώ",1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
4,Ποιος είναι ο ελάχιστος αριθμός κρατών-μελών της Ευρωπαϊκής Ένωσης για την καθιέρωση ενισχυμένης συνεργασίας;,Δεκατέσσερα (14),Εννέα (9),Πέντε (5),Τέσσερα (4),1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
5,Την ιθαγένεια της Ένωσης έχουν όσα φυσικά πρόσωπα:,Είναι ανιθαγενείς,Κατοικούν μόνιμα σε κράτος μέλος της Ευρωπαϊκής Ένωσης,Εργάζονται ή παρέχουν υπηρεσίες σε κράτος μέλος της Ευρωπαϊκής Ένωσης,Έχουν την ιθαγένεια ενός τουλάχιστον κράτους μέλους της Ευρωπαϊκής Ένωσης,3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
6,Η εσωτερική αγορά της Ευρωπαϊκής Ένωσης περιλαμβάνει έναν χώρο χωρίς εσωτερικά σύνορα εντός του οποίου διασφαλίζεται η ελεύθερη κυκλοφορία:,Των προσώπων και των εμπορευμάτων,"Των προσώπων, των εμπορευμάτων και των υπηρεσιών","Των εμπορευμάτων, των υπηρεσιών και των κεφαλαίων","Των προσώπων, των εμπορευμάτων, των υπηρεσιών και των κεφαλαίων",3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
7,Το απορρέον από την ιθαγένεια της Ευρωπαϊκής Ένωσης δικαίωμα ελεύθερης κυκλοφορίας και διαμονής στην επικράτεια των κρατών-μελών αφορά κατ’ αρχήν:,Κάθε πολίτη της Ένωσης,Κάθε πολίτη της Ένωσης που ασκεί οικονομική δραστηριότητα ως μισθωτός,Κάθε πολίτη της Ένωσης που ασκεί οικονομική δραστηριότητα ως μισθωτός ή ως αυτοαπασχολούμενος,Κάθε πολίτη της Ένωσης που ασκεί ή προτίθεται να ασκήσει οικονομική δραστηριότητα ως μισθωτός ή ως αυτοαπασχολούμενος,0,Ευρωπαϊκοί Θεσμοί και Δίκαιο
8,Σε ποιον από τους παρακάτω τομείς πολιτικής η Ευρωπαϊκή Ένωση διαθέτει αποκλειστική αρμοδιότητα:,Ενεργειακή πολιτική,Κοινή εξωτερική πολιτική & πολιτική ασφάλειας,Κοινή εμπορική πολιτική,Βιομηχανική πολιτική,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
9,"Στον τομέα της παιδείας, της επαγγελματικής εκπαίδευσης, της νεολαίας και του αθλητισμού:",η Ευρωπαϊκή Ένωση στερείται κάθε αρμοδιότητας,η Ευρωπαϊκή Ένωση έχει συντρέχουσα αρμοδιότητα με τα κράτη μέλη όπως στον τομέα του περιβάλλοντος,η Ευρωπαϊκή Ένωση έχει αποκλειστική αρμοδιότητα,"η Ευρωπαϊκή Ένωση έχει αρμοδιότητα να αναλαμβάνει δράσεις για να υποστηρίζει, να συμπληρώνει ή να συντονίζει τη δράση των κρατών μελών",3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
10,Στους τομείς αποκλειστικής αρμοδιότητας της Ένωσης:,Η μόνη αρμόδια να δράσει είναι η Ένωση,Η Ένωση μπορεί να δράσει τηρώντας την αρχή της επικουρικότητας,"Τα κράτη μέλη μπορούν να δράσουν, εφόσον η Ένωση δεν ασκήσει τις αρμοδιότητές της",Η Ένωση μπορεί να δράσει τηρώντας την αρχή της καλόπιστης συνεργασίας,0,Ευρωπαϊκοί Θεσμοί και Δίκαιο
11,Τι από τα παρακάτω ΔΕΝ αποτελεί ίδιο πόρο της Ευρωπαϊκής Ένωσης;,Τελωνειακοί δασμοί κατά τις εισαγωγές εμπορευμάτων στην Ευρωπαϊκή Ένωση,Ποσοστό επί του φόρου προστιθέμενης αξίας που εισπράττουν τα κράτη-μέλη,Συνεισφορά που βασίζεται στην ποσότητα μη ανακυκλούμενων απορριμμάτων πλαστικών συσκευασιών στα κράτη-μέλη,Ποσοστό επί του παράβολου για την έκδοση θεώρησης εισόδου κατά την είσοδο πολιτών τρίτων χωρών στην επικράτεια κράτους-μέλους,3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
12,Ο Χάρτης θεμελιωδών δικαιωμάτων της Ευρωπαϊκής Ένωσης:,Είναι νομικά δεσμευτικός από την ημερομηνία της θέσης σε ισχύ της Συνθήκης της Λισαβόνας,Είναι νομικά δεσμευτικός από την ημερομηνία της θέσης σε ισχύ της Συνθήκης της Νίκαιας,"Είναι νομικά δεσμευτικός από την ημερομηνία της πανηγυρικής διακήρυξής του από το Ευρωπαϊκό Κοινοβούλιο, το Συμβούλιο και την Επιτροπή",Δεν είναι νομικά δεσμευτικός αλλά αποτελεί απλώς πολιτική διακήρυξη,0,Ευρωπαϊκοί Θεσμοί και Δίκαιο
13,Για την προσχώρηση ενός νέου κράτους μέλους στην Ευρωπαϊκή Ένωση απαιτείται στο τελευταίο στάδιο:,"Η σύναψη συνθήκης μεταξύ της Ευρωπαϊκής Ένωσης, εκπροσωπούμενης από την Ευρωπαϊκή Επιτροπή, και του κράτους αυτού",Η υπογραφή και η κύρωση συνθήκης προσχώρησης μεταξύ όλων των υφιστάμενων κρατών μελών και του υπό προσχώρηση κράτους,Σύμφωνη γνώμη του Δικαστηρίου της Ευρωπαϊκής Ένωσης,Καμία από τις λοιπές απαντήσεις,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
14,Ποια από τις ακόλουθες πηγές δικαίου της Ευρωπαϊκής Ένωσης ΔΕΝ αποτελεί μέρος του παράγωγου/δευτερογενούς δικαίου της Ένωσης:,Οι αποφάσεις της Επιτροπής με τις οποίες επιβάλλονται πρόστιμα,Οι Κανονισμοί,Οι αποφάσεις-πλαίσιο,Οι γενικές αρχές του δικαίου της Ένωσης,3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
15,Παράδειγμα παράγωγου δικαίου της Ένωσης αποτελεί:,Το άρθρο 49 της Συνθήκης για την Ευρωπαϊκή Ένωση (ΣΕΕ),Η αρχή της αναλογικότητας,Ο Γενικός κανονισμός για την προστασία δεδομένων,Ο Χάρτης Θεμελιωδών Δικαιωμάτων της Ευρωπαϊκής Ένωσης,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
16,Ποια από τις παρακάτω νομικές πράξεις είναι μη δεσμευτικού χαρακτήρα:,Απόφαση,Οδηγία,Κανονισμός,Καμία από τις λοιπές αναφερόμενες,3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
17,Ο κανονισμός είναι πράξη του παράγωγου δικαίου της Ευρωπαϊκής Ένωσης που έχει:,"Γενική, καθολική και άμεση ισχύ","Γενική και καθολική, αλλά όχι άμεση ισχύ","Καθολική και άμεση, αλλά όχι γενική ισχύ","Γενική και άμεση, αλλά όχι καθολική ισχύ",0,Ευρωπαϊκοί Θεσμοί και Δίκαιο
18,"Όσο διαρκεί η προθεσμία μεταφοράς μίας ενωσιακής Οδηγίας, οι εθνικές αρχές:",Υποχρεούνται να ερμηνεύουν το εθνικό δίκαιο σύμφωνα προς τις διατάξεις της,"Μπορούν, αλλά δεν υποχρεούνται να ερμηνεύουν το εθνικό δίκαιο σύμφωνα με τις διατάξεις της","Υποχρεούνται να εφαρμόζουν το εθνικό δίκαιο, ακόμα και εάν είναι αντίθετο προς την Οδηγία",Οφείλουν να μην την λαμβάνουν υπόψη,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
19,Οι διεθνείς συμφωνίες που συνάπτει η Ευρωπαϊκή Ένωση:,Υπερέχουν έναντι του πρωτογενούς και του παράγωγου ενωσιακού δικαίου,"Υπερέχουν έναντι του παράγωγου, όχι όμως και του πρωτογενούς ενωσιακού δικαίου",Υπερέχουν έναντι των γενικών αρχών του ενωσιακού δικαίου,Υπερέχουν έναντι των οδηγιών αλλά όχι έναντι των κανονισμών,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
20,Μια διάταξη του πρωτογενούς δικαίου της Ευρωπαϊκής Ένωσης έχει άμεσο αποτέλεσμα εάν περιέχει:,Έναν χωρίς αιρέσεις νομικό κανόνα,Έναν σαφή νομικό κανόνα,"Σαφείς, συγκεκριμένους και χωρίς αιρέσεις κανόνες, που δεν απαιτούν συμπληρωματικά μέτρα","Έναν σαφή και συγκεκριμένο νομικό κανόνα, εφόσον το περιθώριο εκτιμήσεως που αφήνεται στα κράτη μέλη, σχετικά με την εφαρμογή του, είναι μικρό",2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
21,Ένας εκτελεστικός ή κατ’ εξουσιοδότηση Κανονισμός που εκδίδει η Επιτροπή:,Έχει μειωμένη δεσμευτικότητα για τις κρατικές αρχές σε σχέση με έναν Κανονισμό,Δεν μπορεί να αφορά ιδιώτες,Δεν υπερέχει του εθνικού δικαίου όπως ο Κανονισμός,Πρέπει να κινείται στα όρια της νομοθετικής της εξουσιοδότησης,3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
22,Ποιο είναι το εκτελεστικό όργανο της Ευρωπαϊκής Ένωσης;,Το Ευρωπαϊκό Συμβούλιο,Το Ευρωπαϊκό Κοινοβούλιο,Το Συμβούλιο,Η Ευρωπαϊκή Επιτροπή,3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
23,Ποια από τις παρακάτω προτάσεις είναι λανθασμένη;,Οι νομοθετικές πράξεις των οργάνων της Ένωσης εκδίδονται με τη συνήθη ή με ειδική νομοθετική διαδικασία,Όλες ανεξαιρέτως οι πράξεις των οργάνων της Ένωσης εκδίδονται σύμφωνα με κάποια νομοθετική διαδικασία,Η Συνθήκη για τη Λειτουργία της Ευρωπαϊκής Ένωσης (ΣΛΕΕ) διακρίνει μεταξύ νομοθετικών και μη νομοθετικών πράξεων,Οι μη νομοθετικές πράξεις εκδίδονται χωρίς νομοθετική διαδικασία,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
24,Ποιο(α) ενωσιακό(ά) όργανο(α) παρέχει(ουν) νομοθετική εξουσιοδότηση για να εκδίδονται από άλλο ενωσιακό όργανο εκτελεστικές ή κατ’ εξουσιοδότηση πράξεις;,Το Ευρωπαϊκό Συμβούλιο,Το Συμβούλιο,Το Συμβούλιο και το Κοινοβούλιο,Η Επιτροπή και το Συμβούλιο,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
25,Τι από τα παρακάτω ισχύει;,Η Ευρωπαϊκή Επιτροπή μπορεί να κινήσει τη διαδικασία επί παραβάσει εάν ένα κράτος μέλος δεν εφαρμόζει ορθά και εμπρόθεσμα τα νομοθετικά μέτρα της Ευρωπαϊκής Ένωσης,Το Ευρωπαϊκό Κοινοβούλιο μπορεί να προσφύγει ενώπιον του Δικαστηρίου εάν ένα κράτος μέλος δεν εφαρμόζει ορθά και εμπρόθεσμα τα νομοθετικά μέτρα της Ευρωπαϊκής Ένωσης,Η Ευρωπαϊκή Επιτροπή μπορεί να επιβάλλει πρόστιμο σε κράτος μέλος που δεν εφαρμόζει ορθά και εμπρόθεσμα τα νομοθετικά μέτρα της Ευρωπαϊκής Ένωσης,Το Ευρωπαϊκό Συμβούλιο αποφασίζοντας με ειδική πλειοψηφία μπορεί να επιβάλλει κυρώσεις σε κράτος μέλος που κατά σύστημα δεν εφαρμόζει ορθά και εμπρόθεσμα τα νομοθετικά μέτρα της Ευρωπαϊκής Ένωσης,0,Ευρωπαϊκοί Θεσμοί και Δίκαιο
26,Ο/Η Ύπατος Εκπρόσωπος:,Είναι Αντιπρόεδρος του Ευρωπαϊκού Συμβουλίου,Προεδρεύει του Συμβουλίου Δικαιοσύνης και Εσωτερικών Υποθέσεων,Προεδρεύει του Συμβουλίου Εξωτερικών Υποθέσεων,Είναι επικεφαλής της Επιτροπής Μονίμων Αντιπροσώπων (Coreper),2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
27,Τι από τα παρακάτω ΔΕΝ κάνουν οι κυβερνήσεις των κρατών μελών;,Ανακαλούν τους Επιτρόπους που προέρχονται από τη χώρα τους,Προτείνουν υποψηφίους για τη νέα Ευρωπαϊκή Επιτροπή,Ορίζουν τους υπουργούς που συμμετέχουν στο Συμβούλιο,Διορίζουν τους δικαστές στο Δικαστήριο της Ευρωπαϊκής Ένωσης,0,Ευρωπαϊκοί Θεσμοί και Δίκαιο
28,Ποιο θεσμικό όργανο της Ευρωπαϊκής Ένωσης χαρακτηρίζεται συχνά ως «ο θεματοφύλακας των Συνθηκών»;,Το Ευρωπαϊκό Δικαστήριο,Το Ευρωπαϊκό Ελεγκτικό Συνέδριο,Η Ευρωπαϊκή Επιτροπή,Το Συμβούλιο,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
29,"Στις ειδικές νομοθετικές διαδικασίες, το αποφασιστικό όργανο:",Δεν είναι ποτέ το Συμβούλιο,Δεν είναι ποτέ το Ευρωπαϊκό Κοινοβούλιο,Άλλοτε είναι το Ευρωπαϊκό Κοινοβούλιο και άλλοτε το Συμβούλιο,Δεν είναι ούτε το Ευρωπαϊκό Κοινοβούλιο ούτε το Συμβούλιο,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
30,"Στη συνήθη νομοθετική διαδικασία, κατά τη δεύτερη ανάγνωση ενός σχεδίου νομοθετικού μέτρου το Ευρωπαϊκό Κοινοβούλιο μπορεί να απορρίψει ή να τροποποιήσει τη θέση στην οποία κατέληξε το Συμβούλιο κατά την πρώτη ανάγνωση:",Με πλειοψηφία των μελών που ψήφισαν,Με απόλυτη πλειοψηφία όλων των μελών του,Με ενισχυμένη πλειοψηφία 60% των μελών του,Με ομόφωνη ψήφο των μελών του,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
31,Την προεδρία του Συμβουλίου της Ευρωπαϊκής Ένωσης αναλαμβάνει:,Το κράτος μέλος που εκλέγεται από το Συμβούλιο Γενικών Υποθέσεων για ένα εξάμηνο,Ένα κράτος μέλος εκ περιτροπής για ένα εξάμηνο,Το κράτος μέλος που εκλέγεται από το Ευρωπαϊκό Συμβούλιο για ένα δωδεκάμηνο,"Ένα κράτος μέλος εκ περιτροπής για ένα εξάμηνο ή, εάν πρόκειται για ένα από τα 5 μεγαλύτερα κράτη μέλη, για ένα δωδεκάμηνο",1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
32,"Κατά κανόνα, οι αποφάσεις του Συμβουλίου λαμβάνονται:","Με ειδική πλειοψηφία, δηλαδή πλειοψηφία δύο τρίτων των κρατών μελών που αντιπροσωπεύουν τουλάχιστον τα δύο τρίτα του συνολικού πληθυσμού της Ευρωπαϊκής Ένωσης","Με ειδική πλειοψηφία, δηλαδή πλειοψηφία 55% των κρατών μελών που αντιπροσωπεύουν τουλάχιστον το 65% του συνολικού πληθυσμού της Ευρωπαϊκής Ένωσης",Με πλειοψηφία δύο τρίτων των κρατών μελών,Με ομοφωνία,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
33,Οι έδρες που αντιστοιχούν σε κάθε κράτος μέλος στο Ευρωπαϊκό Κοινοβούλιο κατανέμονται:,Ίσα για κάθε κράτος μέλος,Ανάλογα με τον πληθυσμό του ως ποσοστό του συνολικού πληθυσμού της Ευρωπαϊκής Ένωσης,Βάσει του συνδυασμού των κριτηρίων της γεωγραφικής έκτασης και του πληθυσμού,"Με βάση την αρχή της φθίνουσας αναλογικότητας σύμφωνα με την οποία τα κράτη με μεγαλύτερο πληθυσμό δέχονται να υποεκπροσωπούνται, έτσι ώστε να υπάρχει μεγαλύτερη εκπροσώπηση των κρατών μελών με μικρότερο πληθυσμό",3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
