#,question,a,b,c,d,correct_answer,category
37,Αντικατάσταση μέλους συλλογικού διοικητικού οργάνου πριν τη λήξη της θητείας του:,Είναι δυνατή χωρίς καμία προϋπόθεση,Δεν είναι δυνατή μέχρι τη λήξη της θητείας του,"Είναι δυνατή μόνο για λόγο αναγόμενο στην άσκηση των καθηκόντων του ως μέλους, ο οποίος (λόγος) πρέπει να βεβαιώνεται στη σχετική πράξη",Είναι δυνατή εφόσον έχει διανυθεί τουλάχιστον το μισό της προβλεπόμενης θητείας του,2,Διοικητικό Δίκαιο
38,"Η προθεσμία των σαράντα οκτώ (48) ωρών, πριν τη συνεδρίαση συλλογικού διοικητικού οργάνου, πρόσκλησης των μελών του από τον/την Πρόεδρο:",Δεν δύναται να συντμηθεί,Δύναται να συντμηθεί χωρίς να απαιτείται κάποια ιδιαίτερη μνεία στην πρόσκληση,"Δύναται να συντμηθεί, εφόσον στην πρόσκληση αναγράφονται οι λόγοι που κατέστησαν τη σύντμηση αναγκαία","Δύναται να συντμηθεί υπό τον όρο ότι, κατά τη συνεδρίαση του οργάνου, τα μέλη που παρευρίσκονται αρκούν για να υφίσταται απαρτία",2,Διοικητικό Δίκαιο
39,Σε συνεδρίαση συλλογικού διοικητικού οργάνου θέμα εκτός ημερησίας διάταξης:,Δεν δύναται νομίμως να συζητηθεί,Δύναται να συζητηθεί στην περίπτωση που το αντικείμενο συνεδρίασης έχει χαρακτήρα επείγοντος,"Κατ’ εξαίρεση δύναται να συζητηθεί, εφόσον είναι παρόντα στη συνεδρίαση όλα τα τακτικά μέλη",Δύναται να συζητηθεί εάν είναι παρόντα όλα τα τακτικά μέλη και συμφωνούν ομόφωνα για τη συζήτησή του,3,Διοικητικό Δίκαιο
40,Τριμελή συλλογικά όργανα διοίκησης έχουν απαρτία:,Όταν παρευρίσκονται στη συνεδρίαση και τα τρία (3) μέλη,Όταν παρευρίσκονται στη συνεδρίαση τουλάχιστον δύο (2) μέλη,"Δεν τίθεται θέμα απαρτίας, καθόσον δεν είναι σύννομη η συγκρότηση τριμελών συλλογικών οργάνων διοίκησης",Όταν παρευρίσκονται στη συνεδρίαση δύο (2) μέλη και οι αποφάσεις τους έχουν γνωμοδοτικό χαρακτήρα,0,Διοικητικό Δίκαιο
41,Ο/Η γραμματέας συλλογικού οργάνου διοίκησης:,Αποτελεί μέλος του οργάνου,Αποτελεί μέλος εάν έχει οριστεί από την πράξη συγκρότησης με διπλή ιδιότητα,Δεν αποτελεί μέλος του οργάνου,Αποτελεί μέλος μόνο στην περίπτωση που τα λοιπά μέλη δεν επαρκούν για τον σχηματισμό της απαιτούμενης απαρτίας,2,Διοικητικό Δίκαιο
42,Δύναται να ζητηθεί εξαίρεση μελών συλλογικού οργάνου διοίκησης:,Μέχρι του 1/3 του όλου αριθμού των μελών,Τόσων ώστε τα απομένοντα μέλη να αρκούν για τον σχηματισμό της απαιτούμενης απαρτίας,Όσων κρίνει ο/η διοικούμενος/η ότι δεν παρέχουν εγγυήσεις αμερόληπτης κρίσης,"Όλων πλην του Προέδρου, ώστε τα απομένοντα μέλη να αρκούν για το σχηματισμό της απαιτούμενης απαρτίας",1,Διοικητικό Δίκαιο
43,Η απαρτία για τη λειτουργία συγκεκριμένου συλλογικού οργάνου διοίκησης πρέπει να υφίσταται:,Κατά την έναρξη της συνεδρίασής του,Κατά τη λήψη της απόφασής του,Κατά τη διαλογική συζήτηση του οργάνου,Καθ’ όλη τη διάρκεια της συνεδρίασής του,3,Διοικητικό Δίκαιο
44,"Σύμφωνα με τον Κώδικα Διοικητικής Διαδικασίας, τα μονομελή όργανα και τα μέλη των συλλογικών οργάνων της Διοίκησης οφείλουν να απέχουν από κάθε ενέργεια που συνιστά συμμετοχή σε διατύπωση γνώμης, εφόσον έχουν ιδιαίτερο δεσμό ή ιδιάζουσα σχέση ή εχθρότητα με τις/τους ενδιαφερόμενες/ομένους. Εν προκειμένω, πρόκειται για την αρχή της:",Ήπιας και επιεικούς δράσης της δημόσιας διοίκησης,Αμερόληπτης διοικητικής δράσης,Επικουρικότητας,Αποδοτικότητας στη δράση της διοίκησης,1,Διοικητικό Δίκαιο
45,"Σύμφωνα με την αρχή της επικαιρότητας, μπορεί το αποφασίζον όργανο να εκδώσει νομίμως την εκτελεστή πράξη, χωρίς τη λήψη της γνώμης που απαιτείται βάσει διάταξης νόμου;","Όχι, δεν μπορεί","Μπορεί, μετά την πάροδο άπρακτου του οριζομένου σε διατάξεις ή ευλόγου χρονικού διαστήματος","Μπορεί, αρκεί να αιτιολογήσει πλήρως, ορισμένως και επαρκώς την εκτελεστή πράξη","Μπορεί, μετά την πάροδο άπρακτου οριζομένου σε διατάξεις ή ευλόγου χρονικού διαστήματος καθώς και αν αιτιολογήσει πλήρως, ορισμένως και επαρκώς την εκτελεστή πράξη",1,Διοικητικό Δίκαιο
46,Στην περίπτωση μεταβίβασης αρμοδιότητας:,"Το μεταβιβάζον όργανο, κατά τη διάρκεια ισχύος της μεταβίβασης, μπορεί να ασκήσει παράλληλα τη μεταβιβασθείσα αρμοδιότητα",Το όργανο στο οποίο μεταβιβάστηκε η αρμοδιότητα είναι αποκλειστικά αρμόδιο για την άσκησή της εκτός αντιθέτου νομοθετικής ρυθμίσεως,"Στην περίπτωση απουσίας ή κωλύματος του οργάνου στο οποίο μεταβιβάστηκε, καθίσταται αυτοδικαίως αρμόδιο το μεταβιβάζον όργανο","Κάθε πράξη του οργάνου, στο οποίο μεταβιβάστηκε η αρμοδιότητα, τελεί υπό την έγκριση του μεταβιβάζοντος οργάνου",1,Διοικητικό Δίκαιο
47,Στην περίπτωση εξουσιοδότησης υπογραφής έχουμε:,Μεταβίβαση αρμοδιότητας,Μεταβίβαση δικαιώματος υπογραφής,Αναπλήρωση οργάνου,Πρόβλεψη νέας αρμοδιότητας,1,Διοικητικό Δίκαιο
48,Εάν η αίτηση για την έκδοση διοικητικής πράξης υποβληθεί σε αναρμόδια αρχή:,Απορρίπτεται άνευ ετέρου,Η αναρμόδια αρχή καλεί τον/ην αιτούντα/ουσα και υποδεικνύει την αρμόδια αρχή στην οποία οφείλει να υποβάλει την αίτηση,Η αναρμόδια υπηρεσία οφείλει να διαβιβάσει την αίτηση μέσα σε τρεις ημέρες στην αρμόδια και να γνωστοποιήσει τούτο στον/ην ενδιαφερόμενο/η,"Η αναρμόδια αρχή διαβιβάζει την αίτηση στην ιεραρχικώς προϊσταμένη της, η οποία αποφασίζει σχετικώς",2,Διοικητικό Δίκαιο
49,Ο ιεραρχικός έλεγχος:,Προβλέπεται από ειδικές διατάξεις,Τεκμαίρεται,Αντιβαίνει στο Σύνταγμα,Ταυτίζεται με τη διοικητική εποπτεία,1,Διοικητικό Δίκαιο
50,Η έννοια της διοικητικής εποπτείας χαρακτηρίζει:,Τον έλεγχο που ένα δημόσιο νομικό πρόσωπο (εποπτεύον) μπορεί να ασκεί σε ένα άλλο δημόσιο νομικό πρόσωπο (εποπτευόμενο),Τον έλεγχο που ένα δημόσιο νομικό πρόσωπο (εποπτεύον) μπορεί να ασκεί σε ένα άλλο ιδιωτικό νομικό πρόσωπο (εποπτευόμενο),Τον έλεγχο που ένα δημόσιο νομικό πρόσωπο (εποπτεύον) μπορεί να ασκεί σε ένα άλλο δημόσιο νομικό πρόσωπο (εποπτευόμενο) και τον έλεγχο που ένα δημόσιο νομικό πρόσωπο (εποπτεύον) μπορεί να ασκεί σε ένα άλλο ιδιωτικό νομικό πρόσωπο (εποπτευόμενο),Καμία από τις λοιπές απαντήσεις,0,Διοικητικό Δίκαιο
51,Ο έλεγχος των δαπανών του Δημοσίου ανήκει στην αρμοδιότητα:,Του Νομικού Συμβουλίου του Κράτους,Του Ελεγκτικού Συνεδρίου,Του Συμβουλίου της Επικρατείας,Της Κυβέρνησης εν στενή εννοία,1,Διοικητικό Δίκαιο
52,"Προδικαστική προσφυγή κατά εκτελεστών πράξεων ή παραλείψεων αναθέτοντος δημόσιου φορέα, στο στάδιο σύναψης δημόσιας σύμβασης, ασκείται ενώπιον:",Του Ελεγκτικού Συνεδρίου,Του ειδικώς κάθε φορά συνεστημένου οργάνου του αναθέτοντος φορέα,Της Ενιαίας Αρχής Δημοσίων Συμβάσεων,Του Νομικού Συμβουλίου του Κράτους,2,Διοικητικό Δίκαιο
53,Η συμμετοχή των πολιτικών κομμάτων στις δημοτικές  και περιφερειακές εκλογές:,Απαγορεύεται από το άρθρο 29 του Συντάγματος,Έχει απαγορευθεί με σχετική απόφαση του Ανώτατου Ειδικού Δικαστηρίου,Απαγορεύεται από τη σχετική νομοθεσία,Απαγορεύεται στις δημοτικές αλλά επιτρέπεται στις περιφερειακές εκλογές,2,Διοικητικό Δίκαιο
54,"Διοικητικό όργανο, που εκδίδει πράξη δημοσιευτέα στην Εφημερίδα της Κυβερνήσεως:",Αρκεί να είναι αρμόδιο μόνο κατά τον χρόνο της υπογραφής της,Πρέπει να είναι αρμόδιο κατά τον χρόνο υπογραφής αλλά και κατά το χρόνο δημοσιεύσεώς της,Αρκεί να είναι αρμόδιο μόνο κατά τον χρόνο δημοσίευσης της πράξης,Να είναι αρμόδιο για τουλάχιστον 30 ημέρες μετά τη δημοσίευσή της στην εφημερίδα της κυβερνήσεως,1,Διοικητικό Δίκαιο
55,Κύριος φορέας για τη διαχείριση και την εκτέλεση του κρατικού προϋπολογισμού είναι:,Το Ελεγκτικό Συνέδριο,Ο/Η Πρωθυπουργός,Ο/Η Υπουργός Εθνικής Οικονομίας και Οικονομικών,Ο/Η Πρόεδρος της Βουλής,2,Διοικητικό Δίκαιο
56,Δημόσιες δαπάνες ΔΕΝ θεωρούνται:,Όσες εκτελούνται για την εκπλήρωση των δραστηριοτήτων της Κεντρικής Διοίκησης,Όσες ορίζονται σε νομοθετική ή κανονιστική διάταξη,Όσες ορίζονται σε κανονιστικές πράξεις και βαρύνουν τους προϋπολογισμούς επιχορηγούμενων από τον κρατικό προϋπολογισμό φορέων,Οι επιστροφές δημοσίων εσόδων που έχουν αχρεωστήτως εισπραχθεί,3,Διοικητικό Δίκαιο
57,"Τα αποτελέσματα εκτέλεσης του κρατικού προϋπολογισμού κάθε οικονομικού έτους, καθώς και οι υπερβάσεις πιστώσεων που υπήρξαν κατά το ίδιο έτος, αποτυπώνονται:",Στον Ισολογισμό του Κράτους,Στον Απολογισμό του Κράτους,Στην Ετήσια Έκθεση του Ελεγκτικού Συνεδρίου,Στην Ετήσια Έκθεση της Ανεξάρτητης Αρχής Δημοσίων Εσόδων,1,Διοικητικό Δίκαιο
58,"Η Διοίκηση μπορεί, επειδή διαθέτει διακριτική ευχέρεια ως προς το περιεχόμενο και το ύψος της πειθαρχικής ποινής, να επιβάλει την ποινή της απόλυσης σε δημόσιο/α υπάλληλο με τη δικαιολογία ότι μία ημέρα δεν τήρησε επακριβώς το προβλεπόμενο ωράριο;","Όχι, διότι η διακριτική ευχέρεια για τη Διοίκηση δεν σημαίνει ότι αυτή μπορεί να ενεργεί αυθαίρετα παραβιάζοντας την αρχή της αναλογικότητας","Όχι, διότι υφίσταται έκδηλο σφάλμα εκτιμήσεως της Διοικήσεως ως προς τη διαπίστωση της παράβασης","Ναι, διότι η διακριτική ευχέρεια της Διοικήσεως δεν ελέγχεται δικαστικά","Ναι, διότι παραβιάζεται η αρχή της ισότητας μεταξύ των δημοσίων υπαλλήλων, εάν άλλοι τηρούν ωράριο εργασίας και άλλοι το παραβιάζουν",0,Διοικητικό Δίκαιο
59,"Η/Ο δημόσια/ος υπάλληλος οφείλει να υπακούει σε διαταγή της/του Προϊσταμένης/ου της/του, ακόμη και στην περίπτωση που τη θεωρεί αντίθετη προς τον νόμο, αρκεί προηγουμένως να διατυπώσει εγγράφως τις αντιρρήσεις της/του. Εάν η/ο υπάλληλος είναι αρμόδια/ος να προσυπογράψει ένα έγγραφο, αλλά διαφωνεί με την ενέργεια, οφείλει να:",Παραλείψει την προσυπογραφή,Το προσυπογράψει ούτως ή άλλως,"Προσυπογράψει το έγγραφο, αφού προηγουμένως διατυπώσει εγγράφως την αντίθετη γνώμη της/του","Απευθυνθεί στο ιεραρχικώς προϊστάμενο όργανο, αρνούμενη/ος την προσυπογραφή",2,Διοικητικό Δίκαιο
60,Ο παράνομος διορισμός δημόσιου/ας υπαλλήλου:,Δεν επιτρέπεται να ανακληθεί,Ανακαλείται ελευθέρως,Ανακαλείται κατ΄ αρχήν εντός διετίας,Ανακαλείται μόνον εκ λόγων δημόσιου συμφέροντος,2,Διοικητικό Δίκαιο
61,Τα πειθαρχικά αδικήματα:,Δεν υπόκεινται σε παραγραφή,Υπόκεινται σε 5ετή ή 7ετή παραγραφή,Υπόκεινται σε 20ετή παραγραφή,Υπόκεινται σε άλλη παραγραφή,1,Διοικητικό Δίκαιο
62,Η μετάθεση έχει την έννοια:,Της αλλαγής θέσης εντός του ίδιου φορέα,Της αλλαγής φορέα,Της μεταβολής κλάδου ή κατηγορίας,Της αλλαγής οργανικής μονάδας (διοικητικής αρχής),3,Διοικητικό Δίκαιο
63,Η μετακίνηση έχει την έννοια:,Της αλλαγής θέσης εντός του ίδιου φορέα,Της αλλαγής φορέα,Της αλλαγής υπουργείου ή Ν.Π.Δ.Δ.,Της μεταβολής κλάδου ή κατηγορίας,0,Διοικητικό Δίκαιο
64,Η ποινική καταδίκη συνιστά κώλυμα διορισμού του/της δημόσιου/ας υπαλλήλου;,Πάντοτε,Ποτέ,Σε ορισμένες περιπτώσεις που ορίζει ο νόμος,Όταν το διατάξει το αρμόδιο διοικητικό όργανο,2,Διοικητικό Δίκαιο
65,Ποιο έτος είναι το ανώτατο όριο ηλικίας διορισμού κάποιου ως δημόσιου/ας υπαλλήλου;,Το 35ο,Το 40ο,Κατά κανόνα δεν υφίσταται ηλικιακό όριο,Το 50ο,2,Διοικητικό Δίκαιο
66,Ο/Η υπάλληλος αορίστου χρόνου που υπηρετεί στο Δημόσιο:,Χαίρει μονιμότητας,Δεν χαίρει μονιμότητας,Χαίρει νομοθετικών εγγυήσεων ανάλογων της μονιμότητας,Μπορεί να απολυθεί οποτεδήποτε,2,Διοικητικό Δίκαιο
67,Ο/Η δικαστής είναι:,Δημόσιος/α υπάλληλος,Δημόσιος/α λειτουργός,Υπάλληλος με σχέση αορίστου χρόνου,Λειτουργός με σχέση αορίστου χρόνου ιδιωτικού δικαίου,1,Διοικητικό Δίκαιο
68,Οι Περιφέρειες ασκούν αρμοδιότητες:,Μόνο για τοπικές υποθέσεις,Για τοπικές αλλά και για κρατικές υποθέσεις,Για όλες ανεξαιρέτως τις υποθέσεις που διεκπεραίωναν οι κρατικές περιφέρειες έως το 2010,Αποκλειστικά για υποθέσεις που ανήκουν στο Υπουργείο Εσωτερικών,1,Διοικητικό Δίκαιο
69,"Στους ΟΤΑ, αιρετό όργανο με εκτελεστικό ρόλο είναι:",Ο/Η Δήμαρχος αλλά όχι ο/η Περιφερειάρχης,Ο/Η Δήμαρχος και ο/η Περιφερειάρχης,Η δημοτική επιτροπή,Ο/Η Πρόεδρος του δημοτικού συμβουλίου,1,Διοικητικό Δίκαιο
70,Η υποβολή υποψηφιοτήτων στις δημοτικές εκλογές επιτρέπεται μόνο για:,Μεμονωμένους/ες υποψήφιους/ες δημοτικούς συμβούλους,Μεμονωμένους/ες υποψήφιους/ες δημάρχους,Συνδυασμούς με επικεφαλής υποψήφιο/α δήμαρχο,Συνδυασμούς που περιλαμβάνουν υποψήφιες γυναίκες δημοτικούς συμβούλους σε ποσοστό τουλάχιστον 50%  του συνόλου,2,Διοικητικό Δίκαιο
71,Η εξουσιοδότηση υπογραφής από τον/η δήμαρχο σε δημοτικό/ή υπάλληλο:,Απαγορεύεται διότι οδηγεί σε νόσφιση εξουσίας,"Συνεπάγεται την αποκλειστική, πλέον, άσκηση της σχετικής αρμοδιότητας από τον δημοτικό/ή υπάλληλο",Δεν εμποδίζει τον/την δήμαρχο να ασκεί και ο ίδιος/α τη σχετική αρμοδιότητα,Προβλέπεται μόνο για κάλυψη έκτακτων και απρόβλεπτων αναγκών (λ.χ. εξαιτίας ασθένειας του/της δημάρχου),2,Διοικητικό Δίκαιο
72,Η κατανομή αρμοδιοτήτων μεταξύ των δύο βαθμών αυτοδιοίκησης:,Γίνεται υποχρεωτικά με ενιαίο τρόπο σε ολόκληρη τη χώρα,Μπορεί να γίνεται με διαφορετικό τρόπο στις νησιωτικές περιοχές,Γίνεται με αποκλειστικό κριτήριο την αποτελεσματικότητα,Γίνεται με απόφαση του/της Γραμματέα/ως σε κάθε αποκεντρωμένη διοίκηση της χώρας,1,Διοικητικό Δίκαιο
73,Η υποχρέωση συμμόρφωσης της διοίκησης σε δικαστικές αποφάσεις απορρέει:,Από διατάξεις του Συντάγματος και γενικές αρχές του κράτους δικαίου,Από τη διοικητική πρακτική,Από τις αποφάσεις της διοίκησης του φορέα συμμόρφωσης,Από τις εγκυκλίους και τις οδηγίες των Υπουργείων σε συνάρτηση με τη δημοσιονομική δυνατότητα του φορέα συμμόρφωσης,0,Διοικητικό Δίκαιο
74,Η εποπτεία στις πράξεις των δημοτικών και περιφερειακών αρχών συνίσταται:,Πρωταρχικά σε έλεγχο νομιμότητας και κατ’ εξαίρεση σε έλεγχο σκοπιμότητας,Αποκλειστικά σε έλεγχο νομιμότητας,Σε έλεγχο νομιμότητας από τον/τη Γραμματέα Αποκεντρωμένης Διοίκησης και σε έλεγχο σκοπιμότητας από τον/την Υπουργό Εσωτερικών,Σε ιεραρχικό έλεγχο νομιμότητας και ουσίας,1,Διοικητικό Δίκαιο
75,Γενική αρμοδιότητα για τα θέματα της περιφέρειας έχει:,Ο/η Γενικός/ή Γραμματέας της Περιφέρειας,Ο/η Περιφερειάρχης,Το Περιφερειακό Συμβούλιο,Η Περιφερειακή Επιτροπή,2,Διοικητικό Δίκαιο
76,Τα νομικά πρόσωπα δημοσίου δικαίου συστήνονται με νόμο ή κανονιστική πράξη της Διοίκησης:,Ενώ τα δημόσια νομικά πρόσωπα ιδιωτικού δικαίου ιδρύονται με βάση τις διατάξεις του εμπορικού δικαίου,Ενώ τα δημόσια νομικά πρόσωπα ιδιωτικού δικαίου ιδρύονται με βάση τις διατάξεις του αστικού δικαίου,Όπως εξάλλου και τα δημόσια νομικά πρόσωπα ιδιωτικού δικαίου,Ενώ τα δημόσια νομικά πρόσωπα ιδιωτικού δικαίου ιδρύονται με βάση τις διατάξεις του ιδιωτικού δικαίου,2,Διοικητικό Δίκαιο
77,Απόφαση που εκδίδεται επί διοικητικής προσφυγής:,Ενσωματώνει την προσβληθείσα πράξη και παύει τον εκτελεστό χαρακτήρα της πράξης,"Ενσωματώνει την προσβληθείσα πράξη, η οποία συνεχίζει να έχει εκτελεστό χαρακτήρα ενώ η Διοίκηση δεν εμμένει στην αρχική της πράξη",Εξαφανίζει εξ αρχής την προσβληθείσα πράξη,Καμία από τις λοιπές απαντήσεις,0,Διοικητικό Δίκαιο
78,Η διοικητική εποπτεία επί των πράξεων οργάνων εποπτευόμενου δημόσιου νομικού προσώπου δεν περιλαμβάνει:,Την προληπτική εποπτεία,Την κατασταλτική εποπτεία,Την υποκατάσταση,Την κατευθυνόμενη εποπτεία,3,Διοικητικό Δίκαιο
79,Διοικητική προσφυγή αποτελεί:,Η απλή,Η ενδικοφανής,Η ειδική,Όλες οι λοιπές απαντήσεις,3,Διοικητικό Δίκαιο
80,"Κατά διοικητικής πράξης, που κατά το νόμο προβλέπεται η άσκηση ενδικοφανούς προσφυγής, δεν χωρεί μετά την απόρριψη της προσφυγής:",Δικαστική προστασία,Άσκηση αίτησης θεραπείας,"Επανάκριση της υπόθεσης από τη διοίκηση, στο πλαίσιο συμμόρφωσής της σε ακυρωτική απόφαση",Επανάκριση της υπόθεσης από τη διοίκηση κατ΄εφαρμογή των κανόνων ανάκλησης πράξεων,1,Διοικητικό Δίκαιο
81,Οι προθεσμίες:,Είναι κατά κανόνα ενδεικτικές για τη Διοίκηση,Οδηγούν σε κατά χρόνο αναρμοδιότητα όταν παρέρχονται,Είναι κατά κανόνα ενδεικτικές για τους διοικούμενους και για τη Διοίκηση,Καμία από τις λοιπές απαντήσεις Ενότητα: Ευρωπαϊκοί Θεσμοί και Δίκαιο,0,Διοικητικό Δίκαιο
1,Η Συνθήκη της Ρώμης όρισε την Ευρωπαϊκή Οικονομική Κοινότητα:,Ως ένα μέσο προς την ομοσπονδιακού χαρακτήρα «πολιτική ένωση των κρατών της Ευρώπης»,Ως τον τρόπο συγκρότησης ενός «ενοποιημένου χώρου συναλλαγών και ελεύθερης κυκλοφορίας εμπορευμάτων»,Ως τη βάση για «μια διαρκώς στενότερη ένωση» των λαών της Ευρώπης,Καμία από τις λοιπές απαντήσεις,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
2,Ποια από τις παρακάτω χώρες ΔΕΝ ήταν ιδρυτικό μέλος των Ευρωπαϊκών Κοινοτήτων:,Ιταλία,Ομοσπονδιακή Δημοκρατία της Γερμανίας,Ολλανδία,Ιρλανδία,3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
3,Η επίσημη γλώσσα νομοθεσίας της Ένωσης είναι σήμερα:,Η αγγλική και η γαλλική,Η γαλλική,Η γαλλική και η γερμανική,Οι γλώσσες όλων των κρατών μελών,3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
4,Πολίτης της Ευρωπαϊκής Ένωσης είναι κάθε φυσικό πρόσωπο που:,Έχει την κατοικία του στην επικράτεια ενός κράτους-μέλους,Έχει τη συνήθη διαμονή του στην επικράτεια ενός κράτους-μέλους,Έχει την ιθαγένεια ενός κράτους-μέλους,Έχει την ιθαγένεια ενός κράτους-μέλους ή έχει αναγνωρισθεί ως δικαιούχος διεθνούς προστασίας από ένα κράτος-μέλος,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
5,Τα φυσικά πρόσωπα που έχουν την ιθαγένεια της Ένωσης ΔΕΝ έχουν δικαίωμα:,Να κυκλοφορούν και να διαμένουν εντός της Ευρωπαϊκής Ένωσης άνευ εμποδίων,Να εκλέγουν και να εκλέγονται στις εκλογές οποιουδήποτε κράτους μέλους για την τοπική αυτοδιοίκηση,Να εκλέγουν και να εκλέγονται στις βουλευτικές εκλογές κάθε κράτους μέλους,"Σε κράτος εκτός Ευρωπαϊκής Ένωσης να αναζητούν προστασία από τις προξενικές αρχές οποιουδήποτε κράτους μέλους της Ένωσης, εάν το δικό τους δεν έχει διπλωματική παρουσία στο εν λόγω κράτος",2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
6,"Ποια από τις παρακάτω πολιτικές της Ευρωπαϊκής Ένωσης ΔΕΝ αναπτύσσεται στο πλαίσιο του χώρου ελευθερίας, ασφάλειας και δικαιοσύνης;",Η κοινή πολιτική θεωρήσεων,"Η κοινή πολιτική στους τομείς του ασύλου, της επικουρικής προστασίας και της προσωρινής προστασίας",Η πολιτική συντονισμού των υπηρεσιών πολιτικής προστασίας των κρατών-μελών,Η κοινή μεταναστευτική πολιτική,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
7,Οι αποκλειστικές αρμοδιότητες της Ευρωπαϊκής Ένωσης  περιλαμβάνουν:,Την εσωτερική αγορά,Την τελωνειακή ένωση,Την προστασία των καταναλωτών,Τις μεταφορές,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
8,Σε ποιον από τους παρακάτω τομείς πολιτικής η Ευρωπαϊκή Ένωση ΔΕΝ έχει αποκλειστική αρμοδιότητα;,Διατήρηση των βιολογικών πόρων της θάλασσας,Νομισματική πολιτική για τα κράτη μέλη με νόμισμα το ευρώ,Διευρωπαϊκά δίκτυα,Τελωνειακή ένωση,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
9,Οι απαιτήσεις καλής διαβίωσης των ζώων:,Δεν εντάσσονται στο ρυθμιστικό πεδίο του ενωσιακού δικαίου,Ανήκουν στην αποκλειστική αρμοδιότητα των κρατών μελών,Λαμβάνονται πλήρως υπόψη από την Ευρωπαϊκή Ένωση και τα κράτη μέλη κατά τη διαμόρφωση και την εφαρμογή της πολιτικής της Ένωσης στους τομείς της γεωργίας και της αλιείας,Ανήκουν στις αποκλειστικές αρμοδιότητες της ευρωπαϊκής ένωσης,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
10,Η αρχή της θεσμικής και δικονομικής αυτονομίας των κρατών μελών:,Είναι απεριόριστη,Περιορίζεται από την αρχή της καλόπιστης συνεργασίας,Περιορίζεται από τις αρχές της ισοδυναμίας και της αποτελεσματικότητας,Περιορίζεται από την αρχή της υπεροχής του ενωσιακού δικαίου,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
11,Οι διατάξεις του Χάρτη Θεμελιωδών Δικαιωμάτων της Ευρωπαϊκής Ένωσης απευθύνονται κατ’ αρχήν:,Στα όργανα και τους οργανισμούς της Ένωσης,"Στα κράτη-μέλη, όταν εφαρμόζουν το δίκαιο της Ένωσης, και στους ιδιώτες","Στα κράτη-μέλη, όταν εφαρμόζουν το δίκαιο της Ένωσης","Στα όργανα και τους οργανισμούς της Ένωσης, καθώς και στα κράτη-μέλη, όταν εφαρμόζουν το δίκαιο της Ένωσης",3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
12,Για να γίνει δεκτό ένα υποψήφιο προς ένταξη κράτος στην Ευρωπαϊκή Ένωση απαιτείται:,Ομοφωνία των κρατών μελών και έγκριση από το Ευρωπαϊκό Κοινοβούλιο,Πλειοψηφία δύο τρίτων των κρατών μελών,"Πλειοψηφία δύο τρίτων των κρατών μελών, τα οποία απαρτίζουν τα 2/3 του συνολικού πληθυσμού της Ευρωπαϊκής Ένωσης",Ομοφωνία των κρατών μελών και σύμφωνη γνώμη του Ευρωπαϊκού Κοινοβουλίου και του Δικαστηρίου της Ευρωπαϊκής Ένωσης,0,Ευρωπαϊκοί Θεσμοί και Δίκαιο
13,Για την αποχώρηση ενός κράτους μέλους από την Ευρωπαϊκή Ένωση απαιτείται:,Ομόφωνη απόφαση των κρατών μελών,Πλειοψηφία δύο τρίτων των κρατών μελών,"Πλειοψηφία δύο τρίτων των κρατών μελών, τα οποία απαρτίζουν τα 2/3 του συνολικού πληθυσμού της Ευρωπαϊκής Ένωσης",Γνωστοποίηση από το εν λόγω κράτος μέλος στο Ευρωπαϊκό Συμβούλιο της πρόθεσής του να αποχωρήσει από την Ευρωπαϊκή Ένωση και διεξαγωγή διαπραγματεύσεων για τους όρους της αποχώρησης,3,Ευρωπαϊκοί Θεσμοί και Δίκαιο
14,Εκτελεστικούς ή κατ’ εξουσιοδότηση Κανονισμούς μπορεί να εκδίδει:,Μόνο το Συμβούλιο,Μόνο η Επιτροπή,Μόνο το Ευρωπαϊκό Συμβούλιο,Όλα τα λοιπά αναφερόμενα όργανα,1,Ευρωπαϊκοί Θεσμοί και Δίκαιο
15,Ποιο από τα παρακάτω ΔΕΝ αποτελεί νομική πράξη της Ευρωπαϊκής Ένωσης;,Οδηγία,Κανονισμός,Ευρωπαϊκός Νόμος,Απόφαση,2,Ευρωπαϊκοί Θεσμοί και Δίκαιο
16,Οι Οδηγίες:,Ορίζουν πάντοτε προθεσμία για τη μεταφορά τους στην εσωτερική έννομη τάξη των κρατών μελών,Εκδίδονται μόνο για ζητήματα που εμπίπτουν στις συντρέχουσες αρμοδιότητες της Ευρωπαϊκής Ένωσης,Εγκρίνονται πάντοτε με τη συνήθη νομοθετική διαδικασία,Παράγουν άμεσα αποτελέσματα από τον χρόνο δημοσίευσής τους,0,Ευρωπαϊκοί Θεσμοί και Δίκαιο
